en,ha
"I commemorate our dear martyrs and our magnanimous Imam (r.a.), and I hope that by the blessedness of their souls, Allah the Exalted will bestow His mercy, grace and blessings on the Iranian nation.",Muna jinjinawa shahidanmu masu girma da kuma Imamin mu mai girma (Imam Khumaini) sannan kuma muna rokon Allah Madaukakin Sarki albarkacin ruhi mai tsarki na wadannan manyan bayin Allah da ya tabbatar da rahama da falala da albarkoki da yarda da kuma gafararsa ga al'ummar mu.
Religious scholars and pious men should be extremely vigilant and careful.,A saboda haka wajibi ne malaman addini da sauran masu riko da addini su yi gagarumin taka tsantsan.
This is the basiji spirit.,Wannan shi ne ruhin Basiji.
Another issue is a domestic one: the issue of the nuclear negotiations.,"Batun nag aba kuma batu ne na cikin gidanmu, wanda shi ne batun tattaunawar nukiliya."
Preventing the nations of the region from paying serious attention to this natural and valuable right is probably one of the goals behind creating doubts about the peaceful nuclear programs of the Islamic Republic of Iran.,Mai yiyuwa ne daya daga ciki dalilan wannan tada jijiyoyin wuya da kokarin shafa kashin kaji ga shirin makamashin nukiliyan Jamhuriyar Musulunci ta Iran na zaman lafiya shi ne kawar da hankulan al'ummomin wannan yankin daga wannan hakki na su na dabi'a mai tsananin muhimmancin gaske.
This has always been the case in different eras.,"Dukkanin zamunna ma haka suka kasance, a halin yanzu ma haka lamarin yake."
I pray to Allah the Exalted to make the soul of our magnanimous Imam (r.a.) happy and satisfied with us.,Sannan kuma Ya faranta ran Imaminmu mai girma (Imam Khumaini) da yarda da ayyukanmu.
"The same is true of the economic area, scientific progress and activities related to production.","Haka lamarin yake a fagen tattalin arziki, haka nan kuma a fagen samar da abubuwan da ake bukata, haka nan a fagen ci gaba na ilimi da bincike."
"The examples abound in our own time, and many such things have happened to us as well as various other countries over the past few decades.","Misalan hakan ba su da iyaka a wannan zamani na mu da kuma cikin shekaru goma na baya-bayan nan; mun ga misali da yawa dangane da sauran mutane, dangane da kasashe daban-daban, dangane da mu kanmu."
"These threats, sanctions, conflicts and other such things are all caused by fear.","Dukkanin irin wadannan tada jijiyoyin wuya, ihu bayan hari da takunkumi da barazanar da suke yi da dai sauransu, duk suna yin hakan sakamakon wannan tsoron da suke da shi."
"The valiant revolutionary nations of Egypt, Tunisia and Libya, as well as other awakened and combatant nations, should know that the sole means of deliverance from the oppression and guile of the United States and other Western hubristic powers is to establish a global balance of power conducive to their interests.",Wajibi ne jaruman mutanen Masar da Tunusiya da Libiya da sauran al'ummomin da suka farka kuma masu gwagwarmaya su san da cewa hanya guda kawai ta samun 'yancinsu daga zalunci da makircin Amurka da sauran ma'abota girman kai na kasashen yammaci ita ce su sama wa kansu karfi da zai kare musu manufofinsu.
We should do something to avoid being vulnerable in the face of the enemies’ threats. We should reduce our vulnerability to zero. I believe that the issue of the economy is the first priority.,Wajibi ne mu yunkura da tinkarar barazanar makiya ta yadda za mu tseratar da kanmu daga cutarwarsu. Mu kawar da dukkanin cutarwarsu daga kawukanmu. A tunanina batun karfafa tattalin arziki shi ne a kan gaban komai.
"Even as a teacher, you can play a role in this economic jihad. You can engage in economic jihad by teaching this culture of hard work to the youth in your class - who are going to be tomorrow's workforce.","Kai din nan a matsayinka na malami, za ka iya ba da taka gudummawar cikin wannan jihadi na tattalin arziki; a gobe za ka iya koyar da wannan matashi da wannan karfi na mutane wannan al'ada; to hakan yana iya zama jihadi na tattalin arziki."
Unscholarly and ignorant work - the kind of work that is not based on knowledge and valid documents and sources about the Imam of the Age (may God hasten his re-appearance) - is among the things that can be highly dangerous and it can prepare the ground for false claimants.,"Daya daga cikin lamuran da za su iya zama masu hatsarin gaske shi ne gudanar da ayyukan da suke cike da jahilci wadanda ba su da wata alaka da ilimi sannan kuma wadanda ba su dogara da wasu ingantattun hujoji ba cikin lamurran da suka shafi Imam al-Zaman (Allah ya gaggauta bayyanarsa), wanda hakan lamari ne da ke share fage ga masu da'awar karya."
"Allah the Exalted says, ""And thus did We make for every prophet an enemy, the devils from among men and jinn, some of them suggesting to others varnished falsehood to deceive (them), and had your Lord pleased, they would not have done it, therefore leave them and that which they forge.""","Allah Madaukakin Sarki yana fadin cewa: ""Kuma kamar wancan ne Muka sanya wa kowane annabi makiyi; shaidanun mutane da aljannu, sashensu yana yin ishara zuwa sashe da kawatacen zancen bisa ga rudi."
Now you can see that the signs of this great plot are becoming visible one after the other.,A halin yanzu dai kuna iya ganin alamun wadannan makirce-makirce wadanda tun da jimawa aka tsara su suna bayyana daya bayan daya.
Of course not every innovation is good.,Ko da yake ba kowane sabon abu ne ake bukatarsa ba.
He was both a religious scholar and a spiritual figure.,Shi din nan ya kasance ma'abocin sanin Allah da kuma lissafi.
"You should know that the day the den of spies was captured, the American government was several times more formidable and prestigious than today.","Ya kamata ku din nan ku san cewa a ranar da aka kama ofishin jakadancin Amurka (ofishin leken asirin Amurka) a nan Tehran, irin mutumci da ikon da Amurka take da shi ya ninninka irin wanda take da shi yau."
"The experience of the Iranian nation has shown that their threats, statements, and opposition cannot at all slow down the speed of our nation's progress.","Wadannan barazana da (makiya) suke yi, maganganun da suke fadi, irin adawar da suke nunawa, to tarihin al'ummar Iran ya tabbatar da cewa babu wani tasiri da irin wadannan kiyayaya suka yi wajen dakatar da wannan yunkuri na al'ummar Iran."
The Commander of the Faithful (a.s.) did not tell Malek al-Ashtar to disgrace people before their offences had been proven.,To Amirul Muminin (a.s) bai ce a bayyanar da abubuwa (laifuffukan) da ba a riga da an tantance su ba.
"Another example is the reminder about the overwhelming power of God to suppress the invaders of the Holy House: in order to encourage His audience through the Holy Prophet to submit to His order, Allah the Exalted makes use of this example ""so let them serve the Lord of this House"" [The Holy Quran, Sura Quraysh, Ayah 3] and says, ""Did He not cause their war to end in confusion?""","Wani misalin kuma na daban shi ne tunatarwa dangane da gagarumin karfin da Ubangiji yake da shi wajen gamawa da wadanda suka kawo wa Dakin Allah hari wanda Allah Madaukakin Sarki ya sanar da Manzon Allah ne don kadaitar da wadanda yake magana da su, inda yake cewa: ""Saboda haka, sai su bauta wa Ubangijin wannan Gida (Ka'abah) (Suratu Kuraish 106:3) sannan a wani wajen kuma yake cewa: ""Ashe, bai sanya kaidinsu a cikin bata ba"" (Suratul Fil 105:2)."
"The fact that Imam (r.a.) did not stop his battle against the domineering powers even for one single moment, was mainly because the domineering powers were enemies of the people's happiness, and Imam (r.a.) believed that enemies of the people were his enemies too.","Wannan shi ne dalilin da ya sanya kuke ganin Imam bai taba nuna gazawa ba a fagen fada da ‘yan mulkin mallaka masu takama da karfi saboda ‘yan mulkin mallaka sun zamanto masu adawa da jin dadin al'umma, sannan kuma Imam yana ganin masu kiyayya da mutane a matsayin abokan gaba."
"They can make criticisms, but in doing so, they should not paint a bleak picture and deny the outstanding achievements that have been accomplished under the incumbent administration or previous administrations thanks to the constant efforts of individuals like themselves.","Su yi suka, to amma suka ba wai da ma'anar bakanta wani ba. Kada sukar ta zamanto inkarin fitattun ayyukan da aka yi, shin a wannan gwamnatin ce ko kuma a gwamnatocin da suka gabata."
The role of a panegyrist and a eulogist - a profession which is thankfully popular in our country today - is that he should promote knowledge and understanding among the people through artistic methods and means of expression.,Matsayi da ayyukan mawaka da masu yabo - wato irin wadannan maganganu da alhamdu lillahi a yau ake ganinsu a kasar nan - shi ne cewa ta hanyar amfani da wannan fasahar za su iya yada ilmummuka da koyarwa ta addini a tsakanin al'umma.
"This nation can achieve the position that it deserves through cooperation, solidarity, sense of brotherhood and good deeds.","Ta hanyar aiki tare, 'yan'uwantaka da kuma aiki saboda Allah, lalle wannan al'umma za ta iya samun matsayin da ya dace da ita."
That is why our history is so outstanding.,Saboda hakan ne ma tarihinmu ya samu irin wannan daukaka.
"In the Name of Allah, the Beneficent, the Merciful",Da Sunan Allah Mai Rahama Mai Jin Kai
I ask Allah the Exalted to guide our hearts and tongues to accommodate and say whatever that satisfies Him.,Ina rokon Allah Madaukakin Sarki da Ya shiryar da zukatanmu da harsunanmu zuwa ga abubuwan yardarsa.
"We have not manufactured any nuclear weapons and we never will. They know this and the nuclear issue is just a pretext. One day their pretext is the nuclear issue, another day their pretext is human rights and yet another day their pretext is other domestic issues of our country, but they are all pretexts.","Wannan shi ne hakikanin lamarin. Mu dai saboda dalilan da muke da su, ba zamu taba neman kera makaman nukiliya ba; ba mu kera ba sannan kuma ba za mu kera ba, su da kansu sun san hakan, sai dai kuma suna daukan hakan a matsayin wani abin da za su fake da shi ne. A wani lokacin suna amfani da hakan, a wani lokacin kuma suna fakewa da batun hakkokin bil'adama, a wani lokacin kuma wani lamarin na cikin gida; to amma dukkanin wadannan wasu abubuwa ne da suke fakewa da su."
We need to distance our economy from oil. Our governments should include this among their basic plans.,Wajibi ne mu raba tattalin arzikinmu da dogaro da man fetur; ya kamata gwamnatocinmu su sanya hakan cikin shirye-shiryensu.
Leader’s New Year Address - Khamenei.ir,Sakon Jagora Na Sabuwar Shekarar 1390 Hijira Shamsiyya
This is practical. Another essential point is that we must make serious efforts to point out investment opportunities to the private sector.,Wani lamarin na asali na gaba shi ne mu ba da muhimmanci ga batun bayyanar da damar zuba jari da ake da ita a kasar nan ga bangaren ‘yan kasuwa.
We fail to realize what great assistance is being bestowed on us. But the Imam saw that sign.,Ba ma iya fayyace wacce irin taimako ne wannan mai girma wanda Allah Madaukakin Sarki ya ba mu; to sai dai shi kan yana gani.
Healthy activities are always accompanied by unhealthy activities.,"A ko da yaushe a tattare da ayyuka masu kyau, akwai wadansu ayyukan kuma marasa kyau."
This is the first point.,Wannan shi ne batu na farko.
Strengthen your relationship with Allah the Exalted.,Ku karfafa alakarku da Allah Madaukakin Sarki.
Today the same thing will happen in every sector and in every field of endeavor where there are vigilant officials who are prepared to give the people a role to play.,"A yanzu ma dai a kowane bangare, a duk inda aka sami fahimta da sanin ya kamata cikin ayyukan jami'ai sannan kuma aka ba wa mutane damar taka rawarsu, to kuwa wannan shi ne abin da zai faru."
"Thanks to the Revolution, many infrastructure-related projects were carried out in the country. Thousands of factories were built. Many mother companies were built.","Albarkacin wannan juyi, an gudanar da ayyuka masu muhimmanci kuma na asasi a kasar nan. An samar da dubban kamfanoni a kasar nan."
"It is wrong to think that during the time of the taghuti regime, there were no pious people in the Army or that there were few such people.",Bai kamata wani ya yi zaton cewa a lokacin gwamnatin dagutu babu muminai cikin sojoji ba ne ko kuma su din nan 'yan kadan ba ne.
"In recent years, a number of governments who possess nuclear weapons have even gone beyond the pre-emptive strategy based on mutual annihilation in dealing with other nuclear powers to the extent that in their nuclear policies they insist on maintaining the nuclear option even if they are faced with conventional threats from countries violating the NPT. This is while the greatest violators of the NPT are the powers who have reneged on their obligation to dispose of nuclear weapons mentioned in Article 6 of the Non-Proliferation Treaty. These powers have even surpassed other countries with respect to promoting nuclear weapons in the world.","Cikin shekarun baya-bayan nan wasu daga cikin gwamnatocin da suka mallaki (fasahar) nukiliya, sakamakon tunanin karfin fuskantar sauran kasashen da suke da karfin nukiliya wanda ya ginu bisa asasin cutar da juna, sun riki siyasar nukiliya na kiyaye ‘yancin amfani da (makaman) nukiliya wajen fuskantar masu take yarjejeniyoyin amfani da nukiliya da hana yaduwar, alhali kuwa mafiya girman masu take yarjejeniyar hana yaduwar makaman kare dangin su ne dai wadannan kasashe wadanda ba ya ga take nauyin da ke wuyansu cikin sashi na 6 dangane da abin da ya shafi kawar da makaman kare dangi, ba haka kawai ba har ma suna regegeniya ne a tsakaninsu wajen yada wadannan makamai na kare dangi ciki kuwa har da taimakon haramtacciyar kasar Isra'ila wajen mallakan wadannan makamai na nukiliya da kuma ba da kariya ga siyasar wannan gwamnatin."
In European and even Islamic countries.,Na turai kai hatta ma na musulmi.
An investor who wants to have healthy economic activities in the country would be happy to see that we are fighting economic corruption and economically corrupt individuals.,"Don kuwa mai zuba jarin da yake so ya gudanar da ayyukansa a kasar nan ta hanyar da ta dace, a duk lokacin da ya ga cewa muna fada da rashawa da cin hanci, to lalle zai yi farin ciki."
"Elections are the manifestation of our national willpower, the manifestation of Islamic democracy.","Zabe alama ce ta irada ta kasa, alama ce ta tsarin demokradiyya ta Musulunci."
Do not allow secular or western liberal or extremist nationalist or leftist Marxist models to be imposed on you.,"Kada ku bari su tilasta muku tsarin rashin yarda da Allah ko kuma tsarin sassauci na yammaci, ko kuma tsarin ‘yan kasanci na wuce gona da iri, ko kuma akidar gurguzu."
"Both in industrial and agricultural areas, production is of primary importance. A country that fails to engage in production will inevitably become dependant.","Kasar da ba ta samar da wasu abubuwa na bukata, tana so ko ba ta so za ta zamanto mai dogaro da wasu."
It is wrong to think that the Iranian nation had the slightest credibility on international fronts during the time of satanic regimes - both during the time of the Pahlavi regime and during the time of the Qajar regime.,Bai kamata ku yi zaton cewa a zamunnan gwamnatocin dagutu - shin gwamnatin Pahlawi ne ko kuma kafin hakan a lokacin Kajar - al'ummar Iran tana da komai kashin wani matsayi da mutumci ba ne; a'a ba su da shi.
The passage of different years should both be an experience and a source of foresight for us.,Ya kamata gushewar shekaru daya bayan daya su zamanto mana wata kwarewa sannan kuma wata hanya ta samun basira.
"First I will present a brief report of the year 1389: I will consider the issue from a broad perspective and explain the orientation of the Iranian nation and officials in the year 1389. Then I will speak about the new year, which starts from today. I will speak about this year's slogan - namely, ""Economic Jihad"" - and the appropriate measures that should be taken.","Batu na farko, shi ne dangane da abubuwan da aka aikata a shekarar 1389 (hijira shamsiyya) da ta kare, don mu ga a shekarar 1389 wasu abubuwa ne al'ummar Iran da kuma jami'an gwamnati suka aikata sannan kuma wasu hanyoyi suka bi. Batu na biyu dangane da wannan shekarar ce wacce ta faro a yau din nan; bisa la'akari da take da kuma sunan da aka ba wa wannan shekarar wato 'Shekarar Kokarin Bunkasa Tattalin Arziki' da kuma abubuwan da ya dace a aikata cikin shekarar."
"Among the goals that have not been achieved are the 8 percent growth, reducing unemployment, the percentage of investment that had been specified and the issue of reducing inflation which I spoke about previously.","Batutuwa irin su samun ci gaba na kashi 8 cikin dari, ko kuma rage rashin aikin yi ko kuma kashin da aka tsara na zuba jari ko kuma lamarin rage irin tsadar kayayyaki - wanda a wancan ranar na yi ishara da hakan - dukkanin wadannan abubuwa ne da ba a cimma su ba."
Economy is one of the important pillars of this domestic strength.,Daya daga cikin tushen wannan karfi na cikin gida shi ne tattalin arziki.
The Imam (r.a.) raised his objection to that oppressive law.,Imam ya daga muryarsa sama wajen fada da wannan doka.
"He stood up for this idea with all his power. He took care of this sapling until is became an immaculate tree which yields ""its fruit in every season by the permission of its Lord"". [The Holy Quran, 14: 25] The idea to establish the Basij was one of the blessings that God bestowed on that great man and that righteous and humble servant of God.","Tunanin samar da karfin sa kai na al'umma, dakarun sa kai na masu rauni wanda Imamin mu mai girma ya gabatar, ya aiwatar da shi a aikace sannan kuma da dukkanin karfinsa ya tsaya a bayansu wajen goyon bayansu, sannan kuma ya ci gaba da ba wa wannan tsiro ruwa har ya zamanto wata bishiya mai dadi wacce ""Tana bayar da abincinta a kowane lokaci da izinin Ubangijinta"" (Suratu Ibrahim 14:25), hakan daya ne daga cikin tausayin Ubangiji ga wannan babban mutum, wannan babban salihin bawa sannan kuma ga wannan babban bawan Allah mai kaskantar da kai a gare Shi."
It is guided by reason and it is reinforced with faith.,Ana shiryar da shi ne ta hanyar amfani da hankali sannan kuma a karfafa shi da imani.
These messages are handed out during hajj. They are translated into around ten languages and are handed out in Mena and other places during the hajj season.,"Na biyu dai ana watsa wannan sakon a wajen sannan kuma mai yiyuwa ne ana fassara shi cikin yarurruka daban daban da yada su a lokacin hajjin, a Mina haka nan kuma a wani waje na daban, sannan kuma ya shiga hannun dukkanin alhazai a matsayin sakon juyin juya halin Musulunci."
"In the Qur'an, the divine summons to the greatest messenger, may God bless him and his family, is: â€œBe steadfast, just as you have been commandedâ€”[you] and whoever has turned [to God] with youâ€”and do not overstep the bounds (11:112)â€ and â€œBe steadfast, just as you have been commanded (42:15).â€ Prophet Moses, peace be upon him, is quoted as telling his people: â€˜Turn to God for help and be patient.","Allah Madaukakin Sarki cikin Alkur'ani mai girma ya yi wa Annabinsa (tsira da amincin Allah su tabbata a gare shi) umurni da cewa: ""Sai ka daidaitu kamar yadda aka umurce ka, kai da wadanda suka tuba tare da kai, kuma kada ku yi shisshigi"" (Suratu Hud 11:112) Da kuma cewa ""Saboda wannan sai ka yi kira, kuma ka tsaya daidai kamar yadda aka umurce ka"" (Suratush Shura 42:15) haka nan kuma a cikin Alkur'ani din ta bakin annabi Musa (amincin Allah ya tabbata a gare shi) yana cewa: ""Musa ya ce wa mutanensa, 'Ku nemi taimakon Allah, ku kuma yi hakuri."
And this is not particular to Lebanon.,Lamarin kuma ba ya kebanta ne kawai da kasar Labanon ba.
"Unfortunately, the world has become like this.",Abin bakin cikin shi ne cewa a halin yanzu haka lamarin yake a duniya.
They put that great man under different kinds of pressure - both spiritual and material - but he resisted with patience.,Ya fuskanci matsin lamba daban-daban - matsin lamba ta abin duniya da kuma abubuwa na lahira masu kusata mutum da Ubangiji - to amma dai ya tsaya kyam.
"I would like to talk to you about Islam, particularly the image that is presented to you as Islam.","Magana ta da ku kan Musulunci ne, musamman ma dangane irin abin da ake gabatar muku da shi a matsayin Musuluncin."
You can see how the heads of governments behave across the world.,"Kuna ganin irin abubuwan da wadannan shugabanni na duniya suke aikatawa; don biyan bukatun zukatansu, don ba da kariya ga kamfanonin da suke goyon bayansu, don cike aljihunan masu kamfanoni da manyan 'yan kasuwa, kuna ganin irin bala'in da suke haifarwa a duniya; ko da yake suna yin hakan ne ta hanyar fakewa da take marasa tushe da suke cike kararraki."
"The late Ashrafi Esfahani was from Isfahan, but he felt at home in Kermanshah and he considered himself a citizen of Kermanshah.","Marigayi Ashrafi dai mutumin Isfahan ne, to amma yana jin kansa tamkar mutumin Kermanshah ne; ya zamanto mutumin Kermanshah."
I seriously warn our government officials about this issue.,Lalle ni ina jan kunnen jami'an gwamnati sosai kan wannan lamarin.
"The second point, which is even more important than the first point, is related to his sincerity.","Batu na biyu wanda kuma muhimmancinsa ya fi ma batu na farkon yawa, shi ne tsarkin zuciyar da yake da shi."
"As for the regional issues, the recent events which have happened in the region - in Egypt, Tunisia, Libya and Bahrain - are very important.","To amma dangane da lamurran da suke faruwa a wannan yankin kuwa. Abubuwan da a baya-bayan nan suke faruwa - wato lamurran kasar Masar, Tunusiya, Libya da Bahrain - lamurra ne masu muhimmancin gaske."
This shows the meaning of jihad: having a hostile enemy in front of you.,To a irin wannan yanayi ne ma'anar jihadi da gwagwarmaya take bayyanar da kanta; sannan kuma mutum yake jin kiyayyar makiya a tattare da shi.
"He reiterated: ""When Islam is deleted from the central slogan of the Islamic Republic - that is, 'independence, freedom, Islamic Republic' - these gentlemen should wake up to reality and realize that they are treading the wrong path. When slogans are shouted against Palestine and in support of the usurping Zionist regime on Quds Day, these gentlemen should be chastened, and they should distance themselves from this movement.""","Jagoran ya ci gaba da cewa: A lokacin da aka ga an kauce wa asalin taken Jamhuriyar Musulunci, wato ‘yancin kai, ‘yanci da kuma Jamhuriyar Musulunci wato cire Musulunci daga cikin wannan taken, wajibi ne wadannan malamai su dawo cikin hayacinsu sannan su fahimci cewa suna tafiya ne bisa kaucacciyar hanya."
The roadmap lies in front of our eyes.,Taswirar hanyar dai tana a gabanmu.
"Because the Imam (r.a.) had demanded a national right a few days before in a speech delivered in Qom, which was immediately distributed throughout the country on audio tape and in writing.","Saboda ‘yan wadansu ranaku kafin wancan ranar, ya gabatar da wani jawabi mai tsananin muhimmanci a garin Kum inda ba tare da bata lokaci ba ya yadu cikin kasar nan ta hanyar kasetocin radiyo da bugawa a takarda. A cikin jawabin Imam dai ya gabatar da wata bukata da kuma hakki na kasa ne."
They must be vigilant.,Wajibi ne su lura sosai.
"According to the outlook that has been delineated for us by Allah's favor and thanks to the determination our faithful people, the year 1392 will be the year of progress, dynamism and experience for the Iranian nation, not in the sense that the enmity of the enemies will decrease, rather in the sense that the Iranian people will be more prepared and their presence will be more effective.","Sakamakon taimako na Ubangiji da kuma himmar al'ummar musulmi (ta Iran) an share fagen fata mai kyau cikin shekara ta 1392, cikin yardar Allah za ta zamanto shekara ce ta ci gaba da yunkuri da kuma samun kwarewa."
"The modern devils who attack you through the internet, satellite channels and highly advanced tools of communication - they have modern things to say.","Wannan shaidanin da a yau yake zuwa muku ta hanyoyin internet, tauraron dan'adam da sauran hanyoyin sadarwa na zamani, yana da wasu maganganu na zamanin ma."
"Dear God, put us in the shade of the Holy Quran in the hereafter.",Ka sanya mu karkashin inuwar Alkur'ani a ranar lahira.
"Ayatollah Khamenei said that promoting moral corruption and use of drugs is a means that is used by the enemies to further their political goals. He called on the people, government officials and the youth to be vigilant in this regard. Referring to Isfahan's Islamic seminary and prestigious universities, the Leader of the Islamic Revolution described Isfahan as a center of religious and scientific studies.","Jagoran juyin juya halin Musuluncin har ila yau ya kirayi jami'an gwamnati da su taka tsantsan da kuma yin duk abin da za su iya wajen fada da kokarin yada fasadi da muggan kwayoyi da makiya suke yi. Tun da farko dai said a Ayatullah Tabataba'i Najad, wakilin Jagora kuma limamin juma'ar garin Isfahan ya gabatar da jawabinsa a wajen wannan taro."
"Yes, we can.",A saboda haka lalle za mu iya.
Gain information about Islam through the Qur'an and the life of its great Prophet.,Ku fahimci Musulunci ta hanyar Alkur'ani da rayuwar Annabin Musulunci (tsira da amincin Allah su tabbata a gare shi da Alayensa).
"Since the early days after the victory of the Revolution, certain people stepped in and helped the revolutionary elements to find a way to speak to the Army.",Tun daga wadannan ranaku na farkon nasarar juyin juya halin Musulunci an samu wadansu mutane da suka shigo fage da taimaka wa 'yan gwagwarmaya wajen samun hanyar magana da sojojin.
"A less important goal is self-education. A less important goal is to establish an Islamic society in which all the characteristics of an Islamic society are present, including justice, monotheism and spirituality.","Manufa wacce ta ke kasa da wannan ita ce gina mutum; manufa wacce ta ke kasa da wannan ita ce samar da al'umma ta Musulunci mai ayyananniyar manufa, wacce take da batun tabbatar da adalci a cikinta, akwai tauhidi a cikinta da kuma abubuwan da suke kusata mutum da Ubangiji."
The Leader has only one vote.,Ni dai ba ni da kuri'ar da ta wuce guda daya.
"Undoubtedly, conditions differ among nations and countries. Nonetheless, there are truths that can prove beneficial for all people.","Ko shakka babu yanayin al'ummomi da kasashe cikin dukkanin komai ba daya ba ne, to amma akwai wadansu kama da ake da su wadanda za su iya zama masu amfani ga kowa."
"Speaking at the meeting, His Eminence praised the lofty and desirable station of Shahid Mohammadzade, saying: “Over the course of these years, every moment and every hour during which this dear shahid endured pain and difficulties resulting from his disability will be recorded and rewarded by Allah the Exalted.","A yayin wannan ganawar, Jagoran juyin juya halin Musulunci ya jinjinawa shahid Muhammad Zadeh yana mai cewa: tsawon wadannan shekarun duk wani hakurin da wannan shahidi mai girman matsayi yayi sakamakon wahalhalu irin na raunukan da ya samu a wajen yaki, lalle ladan hakan na nan a wajen Allah Madaukakin Sarki."
"The Iranian nation is like a talented and well-built youth who can become a world-renowned champion if he tries hard enough. The Iranian nation is like that, and it has proven this.","To al'ummar Iran tamkar wannan matashi mai manyan damatsa ne da kuma shiri wanda idan har ya yi kokarin da ya kamata, to kuwa zai isa ga wannan koli, zai iya zama zakara. Haka al'ummar Iran take, ta kuma nuna hakan."
"Based on the Holy Quran, maybe the biggest goal of hajj is the connection between the Islamic Ummah and the activities of the prophets throughout history. That is to say, according to Sura al-Baqara, it began with the creation of Adam and Eve when angels prostrated in front of them, their experiences in paradise, their banishment to earth and finally their use of their heavenly experiences, including committing sins, repenting and complete submission to divine commands.","Mai yiyuwa ne mafi girman manufar da ke cikin aikin hajjin, kamar yadda muka samo hakan cikin Alkur’ani mai girma shi ne ‘alakanta al’ummar musulmi da ayyukan annabawa cikin tarihi’. Wato kamar yadda ya zo cikin Suratul Bakara – wanda mafarinsa daga halittan dan’adam da sujadar Mala’iku gare shi da irin abubuwan da (annabi) Adamu ya gani a cikin aljanna, sannan daga baya kuma da zuwansa bayan kasa da kuma amfani da irin kwarewar da ya samu a Aljanna wanda ya hada da saba wa doka da kuma tuba da komawa ga Allah Madaukakin Sarki."
"Today, what is witnessed in the world is that powers and those governments which claim to support justice do not at all behave in a fair way except in the inner circle of their narrow, limited and oppressive polices.","Abin da a halin yanzu yake faruwa a duniya, shi ne cewa masu takama da karfi da gwamnatocin da suke ikirarin kiyaye adalci, babu wata maganar girmama adalci da suke yi face sai adalcin da yayi daidai da kuntatacciyar siyasarsu ta zalunci."
"At the command of Allah the Exalted, the Holy Prophet (God's greetings be upon him and his household) addressed an important and fundamental issue in that sensitive condition and during the last months of his life. This important issue was attending to the issue of government after the Holy Prophet's (s.w.a.) time.","A daidai wannan lokaci mai matukar muhimmanci, sannan a watannin karshe karshe na rayuwarsa ne, Manzon Allah (s.a.w.a), bisa umurnin Ubangiji, yayi bayanin wannan lamari mai muhimmancin gaske. Wannan lamarin kuwa shi ne batun yadda za a gudanar da hukuma a bayansa."
Everybody must make efforts in order to give promote national production and to strengthen our economy.,Wajibi ne kowa ya zage damtse wajen tabbatar da kayayyakin da ake samarwa a cikin gida da kuma karfafa tattalin arziki na cikin gida.
