ha,sw
"Ra'ayin Laraba ya nuna cewa wannan ""Asabar"" Idin ketarewa ne (duba Littafin Firistoci 16:29-31, 23:24-32,39, inda ake kiran manyan ranaku masu tsarki waɗanda ba lallai ba ne ranar bakwai ta mako a matsayin Asabar).","Wanaoshikilia Jumatano wanasisitiza ya kwamba hii “sabato” ilikuwa pasaka (soma Mambo ya Nyakati 16:29-31, 23:24-32, 39 mahali ambapo siku kuu si lazima ni ile ya saba ya juma tunaambiwa kwamba ni sabato)."
"Ku shiga bautata, ku kuma koya a gare ni, domin ni mai tawali’u ne, marar girman kai, zaku kuma sami kwanciyar rai.","Maana ya maisha, kama ilivyotajwa hapo awali, ya sasa na hata baadaye yapatikana katika kurejezwa kwa ushirika baina ya mwanadamu na Mungu uliopotezwa wakati wa Adamu na hawa walipoanguka dhambini."
"Yana son mu zo wurinsa cikin bangaskiya da ƙauna ga Allah, an lamunce mana ba kaɗai muyi rayuwa mai ma’ana a duniya ba, amma har ma da rai madawwami a gaban Kiristi.",Kipawa hiki cha uzima wa milele kinapatikana na ni bure kwa wote lakini kinagharimu kujikana wenyewe raha Fulani za dunia na kutoa sadaka kwa Mungu.
Na gode maka don alherinka mai ban mamaki da kuma gafara – kyautar rai madawwami!,Asante kwa neema yako ya ajabu na msamaha – kipwa cha uzima wa milele!
A koyaushe Yesu yana musu magana game da koyarwar ƙarya da salon rayuwar munafunci.,Yesu kila mara alikabiliana nao kuhusu mafunzo yao potovu na maisha yao ya utabeli.
"Littafi Mai Tsarki tana gaya mana cewa ba kaɗai akwai rai bayan mutuwa ba, amma rai madawwami mai ɗaukaka da”Abubuwan da ido bai taɓa gani ba, kunne bai taɓa ji ba, zuciyar mutum kuma ba ta ko riya ba, waɗanda Allah ya tanadar wamasu ƙaunarsa” (1 Korantiyawa 2:9).","Bibilia inatuambia yakwamba sio maisha pekee tu baada ya kifo, bali kuna uzima wa milele wenye utukufu mwingi “Hakuna jicho limeshaona, wala sikio kuyasikia,wala hayakuingia katika moyo wa mwanadamu,mambo ambayo Mungu aliwaandalia wampendao’’ (1Wakorintho 2:9) Yesu Kristo, Mungu katika mwili, alikuja duniani kutupa karama ya uzima wa milele."
Duk annabcin Tsohon Alkawari game da zuwan Yesu na farko sun cika a zahiri.,Al die Ou Testament profesië oor Christus se eerste koms het al letterlik plaasgevind.
Iyaye da yawa ba sa yiwa 'ya'yansu duka saboda tsoron kada a kawo musu rahoto ga gwamnati kuma hakan zai sa yaran su tafi da su.,Wazazi wengi hawapigi watoto wao kwa mkono kwa kuogopa kuripotiwa kwa serikali kutahatarisha watoto wao kuchukuliwa na serikali.
"Koina cikin Littafi Mai Tsarki, an ganar da kasancewar Allah a matsayin gaskiyar shaidar kansa (Farawa 1:1; Fitowa 3:14).","Ndani mwote ya maandiko, swala la kuwapo kwa Mungu lashughulikiwa kama la waziwazi (Mwanzo 1:1; Kutoka 3:14)."
"Yanzu zamu ci gaba da dudduba ƙarin halayen Allah; Allah madawwami ne, ma’ana bashi da farko kuma da cewa kasancewar sa ba zai taba ƙarewa ba.","Mungu ni wa milele, kumaanisha hakuwa na mwanzo na kuweko kwake hakutakoma."
"Yadda aka faɗa da farko, Allah ya mori mutane daga sana’o’in rayuwa masu yawa su rubuta maganar sa gare mu.A cikin nazarin rayuwar waɗannan mutane, babu wata kyakkyawar dalili a gaskata cewa ba su basu zama salihai da salihan mutane ba.",Mungu aliwatumia watu wa tabaka mbalimbali kuandika habari hizi.
"Idan kana da mafarki kuma ka ji cewa wataƙila Allah ne ya ba ka, ka yi addu'a sosai ka bincika Maganar Allah kuma ka tabbata cewa mafarkin naka ya yi daidai da Nassi.","Kama uko na ndoto na unahisi kwamba Mungu alikupa hiyo ndoto, kwa maombi lichunguze neno la Mungu na akikisha ndoto yako inakubaliana na maandiko."
"Sabili da haka, “warkarwa” a waɗannan ayoyin yana maganar gafartawa da samun ceto, ba warkarwa ta jiki ba.","Wakati mwingine watu wameponywa magonjwa ya kimwili wakati wanaweka Imani yao katika Kristo, lakini hii kila mara hakui hivo."
Zai zama babu shakka game da gaskiyar cewa Littafi Mai Tsarki tana da’awa ita ce ainihin mganar Allah.,Hakuwezi kuwa na shaka katika swala la kuwa biblia ni neno la Mungu.
"Allah ya san cewa horo yana da zafi yayin da yake faruwa (Ibraniyawa 12:11), amma idan aka bi shi da koyarwa na ƙauna, to fa yana da fa'ida ga yaro.","Mungu anatambua kuwa nidhamu ni chungu wakati inapeanwa (Waebrania 12:11), lakini ikifuatwa kwa maonyo ya upendo, hakika ni ya manufaa kwa mtoto."
"“Don haka, ya 'yan'uwana, ƙaunatattu, ku tsaya a kafe, kullum kuna himmantuwa ga aikin Ubangiji, domin kuwa kun san famar da kuke yi saboda Ubangiji ba a banza take ba (1Korintiyawa 15:58).","“Basi, ndugu zangu wapendwa, mwimarike, mkazidi sana kutenda kazi ya Bwana sikuzote, kwa kuwa mwajua ya kwamba taabu yenu siyo bure katika Bwana” (1Wakorintho 15:58)."
Idan kana tafiya kurkusa tare da Ubangiji kuma da gaske kana sha’awar nufin sa don rayuwar ka- Allah zai sa marmarin Sa kan zuciyarka.,Kama biblia haipingi na kitu hicho kinaweza kukufaidisha kiroho- basi biblia inakupa ruhusa kufanya uamuzi na kufuata yaliyomo moyoni mwako.
Anan kuma munga cewa Kristi ya biya diyyar mana!,Hapa pia tunaona kuwa Kristo alilipa deni kwa ajili yetu.
"Koyaya, ainihin nufin Allah ga Isra'ila - na kawo Almasihu cikin duniya - ya cika daidai a jikin Yesu Kiristi.",Hata hivyo lengo lake kabisa kwa Israeli- lile la kuleta Masia katika ulimwengu- lilitimizwa kikamilifu katika Kristo Yesu.
"Idan Littafi Mai Tsarki da gaske maganar Allah ne, sa’anan zamu ƙaunace ta, nazarce ta, yi biyayya da ita, kuma a ƙarshe zamu amince da ita.","Kama biblia kweli ni neno la Mungu, basi natulifurahie, tulisome, tulitii na kuliamini."
English,English
"3) Bayan Bulus yace, “Daga yau wurin Al'ummai zan je.” (Ayyukan Manzanni 18:6), ba a sake ambaton Asabar ba.","3) Mara moja Paulo anasema, “tangu sasa nitakwenda kwa watu wa Mataifa” (Matendo Ya Mitume 18:6), sabato tena haitajwi kamwe."
Sauyawa na ganin Kiristi da ya tashi daga matattu na da gaggarumar shafa a kan waɗannan mutane.,Mabadiliko ya kumuona kristo aliyefufuka yalipokewa na uzito mkuu na watu hawa.
"Ba ɓangarorin Littafi Mai Tsarki kawai ke magana da koyaswar addini waɗanda aka yi wahayi ba, amma kowace kalma daga Farawa zuwa Wahayin Yahaya.","Si sehemu ya Bibilia ambayo yashughulikia imani za dini ambazo ziko na pumzi, bali ni kila neno kuanzia Mwanzo hadi Ufunuo."
"A cikin babban makircin abubuwa, ba shine mahimmancin sanin ranar ranar mako da aka giciye Kristi ba.","Katika mpangilio wa siri wa jumla wa vitu, si kitu cha muimu kujua ni siku gani ya juma Kristo alisulubiwa."
"Duk lokacin da aka yi amfani da kalmar ""ruhu"", tana nufin ɓangaren ɗan adam wanda ba shi da amfani wanda yake “haɗuwa” da Allah, wanda shi da kansa ruhunsa (Yahaya 4:24).","Popote neno “roho” limetumika, linaashiria sehemu ya ndani ya mwanadamu ambayo “yakutanika” na Mungu, ambaye Yeya mwenyewe ni Roho (Yohana 4:24)."
Baban ya ƙaunace ɗan tawayen da ya komo kamar yadda ya saba (aya 20).,"Babae alimpenda sana huyu mwanae mwasi aliporudi, zaidi hata kuliko mwanzo (aya20), yote yalisamehewa na sherehe ikafuata (aya24)."
Akwai hujjoji da yawa wadanda ba na Littafi Mai Tsarki ba wadanda suke nuni ga masifar duniya kamar ambaliyar duniya.,"Kunayo yale maganjo ya makaburi yanayopatikana kila bara na makaa ya mawe ambayo hayajachimbwa, na yanahitaji kufunikwa kwa haraka na majani."
Ya zama wata batun fassarar Littafi Mai Tsaki ne.,Hili si swala la ubaguzi wa kijinsia ila la ufafanuzi wa maandiko ya Biblia.
"Idan, don dalilai na gardama, halaye masu ɗabi'a sun wanzu akan wasu duniyoyi, to su ma suna shan wahala; in kuwa ba yanzu ba, to wata rana tabbas zasu sha wahala yayin da komai ya shuɗe tare da babban amo kuma abubuwan da ke narke da zafi mai zafi (2 Bitrus 3:10).","Ikiwa ni kwa sababu ya pingamizi, ikiwa viumbe vyenye maadili vinaishi katika sayari nyingine, kwa hivyo pia hoa wanatezeka; na kama si sasa, basi siku nyingine hakika watatezeka wakati kila kitu kimetoweka kwa ile sauti kubwa na kila kitu kitayeyuka kwa ule mto mkali (2 Petero 3:10)."
"Yanzu da wahayin Allah ya cika a cikin Littafi Mai Tsarki, ba a sake bukatar kyaututtukan ""wahayi"", aƙalla ba daidai yadda suke ba a cikin Sabon Alkawari.","Sasa kwa sababu ufunuo wa Mungu umekamilika katika Bibilia, ufunuo wa vipawa hauitajiki tena, kwa karibu lakini si kiwango sawa vile ilikuwa wakati wa Agano Jipya."
"Littafi Mai-Tsarki ya gaya mana cewa, a matsayin mu na Krista, bai kamata mu auri mara imani ba (2 Korantiyawa 6:14-15) domin wannan zai raunana dangantakar mu da Kristi kuma zai lalata ɗabi'un mu da mizanan mu.","Bibilia inatuambia kwamba, kama Wakristo tusioe wasio Wakristo (2 Wakorintho 6:14-15) kwa sababu hii itafanya uhusiano wetu na Kristo na tuaibishe tabia zetu na kanuni zetu ziwe hafifu."
Littafi Mai-Tsarki ya hana mu ɓata shekaru na rayuwarmu akan abin da ba shi da mahimmanci kuma ba zai dawwama ba (Matiyu 7:24-27).,Bibilia yatuzuia kupoteza miaka ya maisha yetu kwa mambo yale hayana maana na hayatadumu (Mathayo 7:24-27).
"Da farko dai, muna da abin da Gideon da Sama'ila ba su da shi.",Mwanzo wa yote tuko na kitu ambacho Gideoni na Samweli ambacho hawakuwa nacho.
"Babu wani abu don raba bisharar da kaina: “Ashe, bangaskiya ta wurin jawabin da ake ji take samuwa, jawabin da ake ji kuma ta Maganar Almasihu yake” (Romawa 10:17).","Soos Saint Francis van Assisi gesê het, “Preek die evangelie altyd en wanneer nodig is, gebruik woorde”."
Masanan zamanin na rike da fassarar Littafi Mai Tsarki a matsayin mafi ingancin kayan tarihi.,Mfumo wa dini ni mpangilio wa kiteolojia ambao uko na misingi miwili tofauti.
"“Ni kuwa na zo ne domin su sami rai, su kuma same shi a yalwace” (Yahaya 10:10b).",Kwa kuwa nira yangu ni laini na mzigo wangu ni mwepesi” (Mathayo 11:28-30).
"Ga mai bi da maya haihuwa, wannan yana nufin ba fara dangantaka ta kud da kud da duk wanda ba ma mai bi ba.","Kwa Mkristo ambaye ameokoka, hii inamaanisha kuwa usianze uhusiano wa karibu na mtu yeyote ambaye si Mkristo."
"Farko, akwai gardamar yanayin kasancewa.",Jibu
"A gaskiya ma, ana ba da kulawar likita da kyau.",Kwa kweli matibabu yanachukuliwa kuwa mazuri sana
Gardama ko an yarda a kashe aure da sake yin aure bisa ga Littafi Mai Tsarki tana kewaye ne da farko kan kalmomin Yesu cikin Matiyu 5:32 da 19:9.,Utofauti wa maoni juu ya talaka na kuoa tena unatokana na maneno ya Yesu katika Mathayo 5:32 na 19:9.
"Kodayake an jefo shi daga sama, yana neman ɗaukaka kursiyinsa sama da Allah.","Hata kama alifukuzwa kutoka mbinguni, bado anazidi kuinua kiti chake juu ya Mungu."
An aika marasa imani zuwa gidan wuta ko wurin matattu (Luka 16:22-23).,Wasio amini watatumwa jahannamu au mahali pa wafu (Luka 15:50-54).
"Bayan an dubi shaidar wani zai iya ce ban da shakka cewa “I, Littafi mai Tsarki ne da gaske Maganar Allah.”",Baada ya kupitia ushahidi huu mtu bila shaka anaweza kusema “kweli Biblia ni Neno la Mungu.”
Sannan ya jira tashin matattu da komowarsa cikin daukaka a cikin hawansa.,Hapo ndipo alingoja kufufuliwa kwa mwili wake na urejesho wa utukufu wake katika kupaa kwake mbinguni.
"2) Nemi Allah ya tsarkake, ya sabunta, ya canza tunanin ka (Romawa 12:2).","2) Muulize Mungu akutakaze, akufanye upya na kubadilisha mawazo yako (Warumi 12:2) 3) Muulize Mungu aijaze akili yako na Wafilipi 4:8."
"Cikin Farawa 1:26; 3:22; 11:7 da kuma Ishaya 6;8, jam’in suna ta “mu” aka mora.","Katika mwanzo 1:26; 3:22; 11:7 na Isaya 6:8, neno la wingi “sisi” limetumika."
"Kyautar baiwar rai madawwami tana samuwa ga dukka , amma tana bukatar cewa mu musunci kanmu waɗansu jin daɗin duniya da mu saɗaukar da kanmu ga Allah.”Wanda ya gaskata da Ɗan, yana da rai madawwami.","Yesu alisema, “mimi ndimi huo ufufuo na uzima."
"Wannan ya hada da ba kawai raba bishara ba, amma har da tanadi don bukatun jiki (abinci, sutura, matsuguni) kamar yadda ya cancanta kuma ya dace.","Hii haimanishi kushiriki injili pekee, pia kutoa msaada kama wa (chakula, nguo and makazi) vile inavyostahili na kuitajika."
Mala'iku halittu ne na ruhu (Ibraniyawa 1:14) ba tare da ainihin zahirin jiki ba.,Malaika ni viumbe vya kiroho (Waebrania 1:14) bila na kuwa na mwili.
Amsa,Jibu
"Ba duka Nassi bane dole ya shafe mu a yau ba, amma duk Nassosi suna ƙunshe da gaskiyar da zamu iya, kuma yakamata, ta shafi rayuwar mu a yau.","Si kila sehemu ya Bibilia yaweza kutufaa hii leo, bali aya zote ziko na ukweli ambao tunaweza na tunastahili kuutumia katika maisha yetu."
"Ya yi alƙawarin cewa idan muka roƙi abubuwan da suka dace da nufinsa, zai ba mu abin da muka roƙa (1 Yahaya 5:14-15).","Ameahidi kuwa tunapouliza vitu ambavyo viko katika mapenzi yake, atatupa chochote tuitizacho (1 Yohana 5: 14-15)."
Wannan tasrin halitta tana da shafa na gama-duniya ga abin ga bani adam cikin iyali (Afisawa 5:22-33) da kuma ikilisiya.,Hivyo ndivyo ilivyo katika jamii zetu nyumbani (waefeso 5:22-33) na kanisani.
"Wannan ba abu ne mai sauƙi ba ga wanda ke fama da baƙin ciki, amma ana iya gyara ta hanyar baiwar Allah na addu'a, nazarin Littafi Mai Tsarki da aikace-aikace, ƙungiyoyin tallafi, zumunci tsakanin masu bi, furci, gafara, da shawara.","Hii sio rahisi kwa mtu ambaye anatezeka kutokana na hali ya majonzi, lakini zaweza ponyeka kupitia kwa kipaji cha Mungu cha Maombi, kuisoma Bibilia na kutumia katika maisha, vikundi vya uzaidizi, ushirika wa Wakristo, kutubu, musamaha na ushauri."
Amincewa ce kaɗai cikin Kiristi wanda zai iya cece ka daga zunubi.,Ni kwa kumwamini Kristo pekee ndiko kutakuokoa toka dhambini.
Cikin Tsohon Alƙawari “UBANGIJI” an rarrabe daga “Ubangiji” (Farawa 19:24; Yusha’u 1:4).,Katika agano la kale “ BWANA” linatofautishwa na “Bwana” (mwanzo 19:24; Hosea 1:4).
Allah yana son ka zama da tabbaci.,Mungu anataka uwe na uhakika!
Amsa,Jibu
"Zato na zai zama cewa akwai mai fasaha da ya aikar da saƙon, wani wanda ya halicci tsarin rubutun asirin.",Ningekuwa na uhakika kuna mtaalam aliyenitumia ujumbe na mwenye ufahamu juu ya kuutafsiri.
Amma baiwar Allah ita ce rai madawwami a cikin Almasihu Yesu Ubangijinmu (Romawa 6:23).,“Kwa maana wote mshahara wa dhambi ni mauti; bali karama ya Mungu ni uzima wa milele katika Kristo Yesu Bwana wetu” (Warumi 6:23).
"Wani lokaci jagorancin Allah na iya zuwa ta wurin Ruhu Mai Tsarki, ta wurin lamirinmu, ta halin da muke ciki, da kuma ta hanyar nasihar wasu mutane.","Mungu anaweza nena kwa sauti na watu, hasa hunena kupitia kwa neno lake na wakati mwingine kupitia kwa Roho Mtakatifu kwa akili yetu, kupitia kwa hali, na kupitia watu wengine."
"Wannan Yesu, Ɗan Allah marar zunubi, yana tare da kai cikin loton ƙiyayya da cin mutunci.","Huyu Yesu, mwana wa Mungu Mtakatifu anafanana nawe katika hali hii ya kukataliwa na kudhalilishwa."
