en,sw
"Many chose to upload their videos directly to Facebook where one can hear North American languages like Kwak'wala and Lakota, as well as the Miriwoong language from Australia, for example.","Wengi huchagua kupandisha video zao moja kwa moja kwenye mtandao wa Facebook na huko husikia lugha zinazozungumzwa kwenye bara za Amerika Kaskazini kama vile Kwak'wala na Lakota, vile vile lugha ya Miriwoong kutoka Australia, kwa mfano."
"Now the Nepali biogas plants are on their way to becoming a ""good deal"" for the global environment.",Hivi sasa vituo vya kutengeneza gesi inayotokana na samadi vimo njiani kuwa “mpango mzuri” kwa ajili ya mazingira ulimwenguni.
Yomi said that the joke merely reinforced gender stereotypes:,Yomi alisema kuwa mzaha huu unachochea ubaguzi wa kijinsia:
Shurufu is a Tanzanian journalist based in Dar es Salaam.,Shurufu ni mwandishi wa Tanzania anayeishi Dar es Salaam.
Iranians celebrated Norouz (Nowruz) on the first day of spring as the traditional Iranian new year holidays.,Wairani walisherehekea Norouz (Nowruz) kunako siku ya kwanza ya msimu wa kuchipuka mimea.
Ocean of people in Shahbagh.,Bahari ya watu huko Shahbagh.
Earthquake damage in Myanmar.,Uharibifu uliosababishwa na tetemeko la ardhi nchini.
"Among the 43 million refugees worldwide, a staggering number of people will never see their family again because they simply have no means to reach them.","Katika wakimbizi 43 duniani kote, wengi wao wanasemekana hawaweza tena kuonana na familia zao tena kwa sababu tu ya kukosa namna ya kuwasiliana nao."
Is the road coming to an end for Ju Ju?,Je barabara ya Ju Ju inafikia mwisho wake?
"Sub-Saharan Africa, and indeed Zambia, was not unaffected by these events.","Afrika ya Kusini mwa Jangwa la Sahara, na kwa hakika Zambia, haikuachwa bila madhara kufuatia matukio haya."
Mousavi!,Mousavi!
"We learn that @Samwyri and his friend will likely be charged with 'inciting violence' if they are charged, that is. — Qatahar Raymond (@qataharraymond) May 30, 2016","Tumegundua kuwa @Samwyri na marafiki zake wanaweza kushtakiwa kwa kosa la "" uchochezi"" — Qatahar Raymond (@qataharraymond) Mei 30, 2016"
"You can copyright your whole blog as other bloggers have done, and have your name embedded on the photos.","Unaweza kuweka blogu yako nzima chini ya haki miliki kama ambavyo wanablogu wengine wamefanya, na kufanya namna ambayo jina lako litaonekana kwenye picha."
Here we lost because the majority of Venezuelans identify with this form of government .,Hapa tumeshindwa kwa sababu wengi wa wa-Venezuela wanajitambulisha kwa serikali ya namna hii .
Thanks to activists the international courts following the genocide proceedings against Guatemala will be taking into account the violence indigenous women faced for more than 36 years where they were victims because they were women and because they were indigenous.,"Shukrani kwa wanaharakati na mahakama za kimataifa kufuatia taratibu za mashtaka dhidi ya Guatemala. Tunaamini zitazingatia matumizi ya nguvu waliyokumbana nayo wanawake wenyeji kwa zaidi ya miaka 36, ambapo walikuwa waathirika kwa sababu tu ya kuwa wanawake na kwa sababu ya kuwa wenyeji."
"As of January 31, 2011 at 6:00 pm US Eastern Standard Time (EST), the material on the page included four albums with more than 130 images portraying women of varying ages, including some dressed in burqas, others wearing head scarves and some in more western attire.","Kuanzia Januari 31, 2011 majira ya saa 12 jioni kwa saa za mashariki(EST), maudhui katika ukurasa huo yalijumuisha zaidi ya picha 130 zinazizoonyesha wanawake wa rika mbalimbali, pamoja na baadhi waliovalia mabuibui (Burqa), wengine waliovalia vilemba na wengine waliovalia nguo za kimagharibi."
Chinese perceptions of Garissa and the vigil,Mtazamo wa Wachima kuhusu shambulio la Garissa na ibada hiyo ya kumbukumbu
"Ukraine is one of the leading countries in Europe in the annual number of abortions, although there is a clear downward tendency.","Nchi hii ni miongoni mwa nchi za ulaya zinazoongoza kwa kuwa na idadi kubwa ya utoaji mimba kwa mwaka, pamoja na kuwa kuna dalili dhahiri za kupungua kwa matukio ya utoaji mimba."
"But conductors with pale faces started running around collecting mattresses, tablecloths and water.","Lakini makondakta wenye sura zenye hofu walianza kukimbia kila mahali wakikusanya magodoro, vitambaa vya mezani na maji."
Working in the public interest can get you arrested: Digital activists under fire,Unapokuwa unafanya kazi kwa maslahi ya umma unaweza kukamatwa: wanaharakati wa mtandao matatani
"To draw the world's attention to the protest, student activist Yeh Jiunn Tyng translated the following message into 31 different languages on his Facebook profile:","Ili kuweza kuvuta hisia za dunia nzima kwenye maandamano hayo, mwanaharakati mwanafunzi Yeh Jiunn Tyng ametafsiri ujumbe ufuatao katika lugha tofauti 31 kwenye wasifu wake wa mtandao wa Facebook:"
"In conclusion, I still think Tanzania is still one of the greatest countries I have been to in Africa.","Kwa kuhitimisha, bado ninadhani Tanzania ingali moja ya nchi nzuri za Kiafrika nilizowahi kuzizuru."
Things they couldn't provide while they had access to the resources to do so!,Vitu ambavyo hawakuweza kuvitoa wakati walipokuwa na rasilimali za kufanya hivyo!
Interviewer: And psychologically is your mother ok?,"Mwandishi: Kwa upande wa kisaikolojia, hali ya mama yako ikoje?"
Police say Kabendera had failed to obey a summons to investigate the status of his Tanzanian citizenship.,Polisi wanasema Kabendera amekaidi agizo la kujisalimisha mwenyewe kwa minajili ya kuchunguzwa juu ya uraia wake kama ni m-Tanzania.
These people forgot you’re the apex predator of the oceans.,Hao watu wamekusahau mwindaji mkuu wa baharini.
"Reportedly, in many cases Twitter takes too long, or simply never respond to requests for verifying accounts.","Kwa taarifa zilizopo, mara nyingi Twita huchukua muda mrefu sana, au pengine haijishughulishi kabisa kujibu maombi ya kuthibitisha anwani fulani fulani."
IT'S DONE #ElcomandanteSeQueda (The commander is staying),IMEKWISHA! #ElcomandanteSeQueda (The commander is staying)
"However, India is considered the largest exporter of the mineral despite Tanzanian government's partial ban on export.","Hata hivyo, India inafahamika kama mwuuzaji mkuu wa madini hayo pamoja na zuio la serikali ya Tanzania dhidi ya uuzaji wa madini hayo nje."
"The agent ordered Esteban to get off the vehicle in order to search him, to which the dissident replied that he was not going to allow, considering that he 'is not a delinquent'.","Afisa huyo wa jeshi alimwamuru Esteban kushuka garini ili afanyiwe upekuzi, kitendo ambacho Esteban alikipinga akisema asingeruhusu kufanyiwa hivyo, akisema kwamba ‘yeye si mhuni’."
"A match with a rich tradition of finals approaches, with Germany demolishing the host 7-1, during which Brazil lacked the heart that the Argentines and the Dutch had in excess.","Mchezo kati ya mataifa yaliyowahi kufika fainali mara nyingi unakaribia, wakati Ujerumani ikiicharaza Brazili kwa mabao 7-1 , na kuifanya Brazil ambayo ni mwenyeji wa mashindano hayo kukosa moyo ambao wa-Ajentina na Wadachi walikuwa nao kwa ziada."
A horde of Indian invaders and their British allies on tourist visas took home the coveted and prized Oscars as the world watched.,Majeshi ya wavamizi wa Kihindi pamoja na maswahiba wao wenye viza za kitalii wamenyakua tuzo inayotamaniwa na kuthaminiwa ya Oscar huku dunia ikiangalia.
"Meyler spun herself in the story as yet another victim duped by Johnson and commended the girls who came forward, vowing to fight even harder for their protection.","Meyler alijitosa mwenyewe katika suala hili na kudai kwamba hata yeye alikuwa mwathirika wa vitendo vya Johnson na aliwapongeza wasichana waliojitokeza, huku akiapa kupambana zaidi ili kuwalinda."
A group of secondary school teachers broke into and entered the office of the Minister of Education in protest against the arbitrary transfer of 120 teachers to other schools.,Kikundi cha walimu wa shule za sekondari kilivunja na kuingia katika ofisi ya Waziri wa Elimu wakipinga kuhamishwa holela kwawalimu 120 kwenda kwenye shule nyingine.
Any press conferences?,Mkutano wowote na waandishi wa habari?
"From Bahrain, Ammar Al Aradi, tweets a series of April Fool's jokes, which some people took seriously.","Kutoka Bahrain, Ammar Al Aradi, anawtiti mfululizo wa utani wa Siku ya Wajinga, ambao watu wengine walidhani ni kweli."
I usually sing to endure and forget the feeling of pain and fatigue from working in plantation.,Mara nyingi huwa napenda kuimba kama namna ya kukabiliana na kusahau hisia za maumivu na uchovu niliokuwa nikiupata katika mashamba makubwa.
"Unique coverage from across Africa, the Caucasus, Macedonia, the Russian language Internet, Latin America and indigenous rights are among some of the highlights.","Uhabarishwaji wa aina yake kuanzia Africa, Caucasus, Macedonia, the Mtandao wa lugha ya Kirusi, , Marekani ya Kusini na haki za wenyeji ni baadhi tu ya dondoo za habari hizi."
She was last seen going to a nearby jungle to bring her family’s cattle back home.,Mara ya mwisho alionekana akielekea kwenye msitu wa karibu na nyumbani kwake kuchukua mifugo ya familia yake kutoka malishoni.
What sets this new organized protest apart from others is that it uses innovative tactics: participants are preparing to ask the Ministry of Labor and Social Policy about the law's ambiguities using Freedom of Information Act (FOI) requests.,Kinachopelekea kuratibiwa kwa maandamano haya mapya ikilinganishwa na maandamano mengine ni matumizi ya mbinu mpya: washiriki wanajiandaa kuiuliza Wizara ya kazi na Sera ya jamii kuhusiana na utata wa kisheria kwa kuzingatia matakwa ya Kanuni ya Uhuru wa Kupata Taarifa.
"Selebi’s conviction is, on the face of it, strong evidence that the criminal justice system is once more showing its steel when it comes to crimes by senior political figures.","Hukumu ya Selebi ni, kwa kuitazama juu juu, ushahidi kwamba mfumo wa sheria za uhalifu kwa mara nyingine unaonyesha uimara wake linapokuja suala la uhalifu unaofanywa na wanasiasa waandamizi."
"Back in 2012, after he released an album that expresses the pain of separation from his spiritual leader and a strong desire for Tibetan unity, he disappeared for quite a lengthy period of time.","Mwaka 2012, baada ya kuzindua albamu yake iliyokuwa inaonyesha maumivu ya kutengenana na kiongozi wake wa kiroho na shauku yake kubw aya umoja wa Watibeti, alibaki kimya kwa muda mrefu."
@BBCAndrewH: #obama - Africa cannot just be a source of raw materials for somebody else.,@BBCAndrewH: #obama - Afrika haiwezi kuwa chanzo cha bidhaa ghafi kwa mtu mwingine.
"@Kamungah: @MediaMK Interns contribute, companies gain as interns get required skills.","@Kamungah: @MediaMK intani wanasaidia, kampuni inasaidika wakati ambapo intani anapata ujuzi wa kazi ambapo kila mtu ananufaika."
Global Voices coverage of social media regulation in Uganda:,Makala mbalimbali za Global Voices kuhusu mitandao ya kijamii nchini Uganda:
"(e) To prohibit ratification of any international treaties, conventions, protocols and declarations which are contrary or inconsistent with the provisions of this Act;","(e) Kuzuia makubaliano ya mkataba wowote wa kimataifa, mikutano na matamko ambayo yanapingana au hayakubaliani na vipengele vya sheria hii;"
government wants to control the present with falsehoods and,inataka kutawala wakati uliopo kwa kutumia uongo
Ammar Mahdi tweets:,Ammar Mahdi alitwiti :
"This will prevent not only the exposure of children to the sensitivity of sex but it will also give the parents a better chance to bond with their kids, spending quality time, giving the necessary attention, love and care...","Hii itazuia watoto kuwa kwenye nafasi ya kuamsha hisia zao za ngono bali pia itawapa wazazi nafasi ya kuwa karibu na watot wao, kuwa nao kwa muda mwingi, kuwaangalia kwa Karibu kama inavyotakikana, na kukuza upendo…"
This is the most touching part of the wedding as the bride's relatives come to say goodbye to her.,Hii ni sehemu ya harusi yenye mguso kwa sababu ndugu wa bibi harusi huja kumuaga.
Here is a short summary of things to observe:,Hapa ni muhtasari mfupi wa mambo ya kutazama:
We have been blessed with a mind of our own that we can use to make decisions and distinguish between right and wrong.,Tumebarikiwa na akili za kuweza kufanya maamuzi na kutofautisha kati ya mema na mabaya.
"Mohamed ElGohary, Lingua Coordinator Global Voices, live from Egypt","Mohamed ElGohary, Mratibu wa Mradi wa Tafsiri (Lingua) akiwa Misri"
Mansoor has been advocating for democratic reform and protection of human rights in his country and the region for more than a decade.,Mansoor amekuwa akitetea mageuzi ya kisiasa na kulinda haki za binadamu nchini mwake na barani kwa zaidi ya muongo mmoja.
3- How can a man’s only crime for starting a business be the fact that he heads a Christian ministry?,3- Inakuwaje kosa pekee la mtu kuanzisha biashara liwe ni kwa sababu eti anaongoza huduma ya Kikristo?
I have long been used to outbreak news dropping off on weekends.,Nimezoea kusikia habari mpya zikisitishwa kutangazwa nyakati za wikiendi.
"""Our ancestral lands are being forcibly taken from us.","""Ardhi zetu za urithi zinachukuliwa kwa nguvu."
"Although Tanzania's poverty rate fell from 60 percent in 2007 to an estimated 47 percent in 2016, nearly 12 million Tanzanians still live in extreme poverty.","Ingawa kiwango cha umaskini Tanzania ni asilimia 60 mwaka 2007 na inakadiriwa mwaka 2016 ilikuwa asilimia 47, karibia watanzania milioni 12 bado wanaishi katika umaskini uliokithiri."
Photo by: TreksJo.,Picha imepigwa na Treksjo.
"But I understand POTUS has a few problems of his own respecting the freedoms of Americans- like, say, freedom from state surveillance? *shrug.*","Lakini, ninafahamu, Rais wa Marekani ana matatizo yake machache ya kuheshimu uhuru wa watu wa Amerika, kwa mfano, upelelezi huru wa Taifa? *dharau.*"
"A Bangalore based private hospital has recently started offering 30-75% discounts on key services, including diagnostics, radiology, and consultancy, during off-peak hours.","Hospitali binafsi iliyoko Bangalore siku za hivi karibuni imekuwa ikitoa punguzo la bei kati ya asilimia 30-75 kwa huduma muhimu, ikiwa ni pamoja na uchunguzi, kufanyiwa vipimo vya x-ray na hata ushauri, wakati wa masaa yasiyo yasiyo na shughuli nyingi."
The telephone is also clearly not the best way to reach farmers who mostly live in the rural areas.,Ni wazi pia kuwa Simu ya Mkono si njia bora ya kufikia wakulima ambao wengi wao wanaishi katika maeneo ya vijijini.
"Speaking to Global Voices, Antony Loveless says:","Akizungumza na Global Voices, Antony Loveless anasema:"
"No information is given to lawyers, journalists, and attorneys.","Hakuna taarifa zimetolewa kwa mawakili, wanahabari na wanasheria."
"@afriwoman: Listening to Zambian radio stations, going through pics of #Chiluba's funeral courtesy of @QfmZambia .","@afriwoman: Nasikiliza stesheni za redio za Zambia, napitia picha za mazishi ya #Chiluba kwa hisani ya @QfmZambia ."
Her attorney filed copies of her academic transcript with the court to prove that she is not failing her classes and thus the school transcripts became available for attorneys of Origo.,Wakili wake alifikisha nakala ya matokeo yake mahakamani na kuonesha kuwa hakuwa anafeli katika masomo yake na pia nakala hizo za matokeo walipewa mawakili wa Origo.
Who has the gall to be happy at such atrocity?,"Je, nani anaweza kuthubutu kuwa na furaha kufuatia ukatili mkubwa kama huu?"
"Son Byung-gwan(@sonkiza), a reporter from the South Korean citizen media site Ohmynews, tweeted :","Son Byung-gwan(@sonkiza), mwandishi wa wavuti wa habari za kiraia za Korea Kusini Ohmynews, alituma ujumbe huu kwenye twita: :"
"In Sierra Leone, Hannah Foullah is using Facebook to fight Ebola-related stigma.","Nchini Sierra Leone, Hannah Foullah anatumia mtandao wa facebook kupambana na unyanyapaa dhidi watu wenye Ebola."
Photo via Facebook page of Free Reyoot Alemu campaign.,Picha kupitia ukurasa wa Facebook wa kampeni ya Kuachiwa kwa Reyoot Alemu.
"In Japan, media portraying either the male or female genitalia are illegal under Article 175 of the penal code.","Nchini Japan, vyombo vya habari kuonesha sehemu za siri ni kosa la jinai chini ya Kifungu cha 175 cha makosa ya jinai."
Thanks for reading Global Voices!,Asante kwa kusoma tovuti ya Global Voices!
"Mozambique ranks 10th in the world for child marriages, according to a UNICEF report from 2015.",Msumbiji inashika nafasi ya 10 ulimwenguni kwa ndoa za utotoni kutokana na taarifa ya UNICEF ya mwaka 2015.
"If you have just discovered this African legend, here are four highlights in his career full of achievements.","Kama ndio kwanza umemsikia nguli huyu wa ki-Afrika, hapa kuna dondoo nne za mafanikio yake ya kimuziki."
"It is important for any government to provide road, water, and electricity to people.","Ni muhimu kwa serikali yoyote kutengeneza barabara, kusambaza umeme na maji kwa ajili ya watu wao."
@BSonblast: @SudaneseThinker @Usiful_ME is in Sudan and he's still tweeting.,"@rodrigodavis: Mpendwa Sudani, kama Bashir atakata mtandao wa intaneti, twiti kwa kuongea maneno kwa kutumia +16504194196 au +390662207294 ‪#SudanRevolts‬ ‫#السودان_ينتفض"
"""Their intellectual apathy, targeted myopia and general dis-ingenuousness played dangerously to help continue the pandemic.","“Umawazo mgando wao , umbumbumbu wa kukusudia na kujitia kwao kuwa wanyofu kulichochea tu uendelevu wa janga hili."
We want Hong Kong to send a message to the world that ivory isn’t welcome here and we won’t allow our city to be any part of this cruel trade.,Tunaitaka Hong Kong kutuma ujumbe kwa dunia kwamba pembe a ndovu hazikaribishwi nchini humu na hatutaruhusu jiji letu kuwa sehemu ya bishara hii ya kikatili na haramu.
In front of government buildings protesters were met by a police cordon and a cordon of ancient statues- real archeological artifacts - set there in 2007.,Mbele ya majengo ya serikali waandamanaji walikutana na msusuru wa polisi na msusuru wa sanamu za kale -kazi za sanaa za kihistoria- zilizowekwa pale tangu mwaka 2007.
In 2013: 210k = 110K (before 2012) +100k (2012) laptops in country,"Mwaka 2013: Kompyuta 210,000 = 110,000 (kabla ya 2012) +100,000 (2012) nchini"
Sans Serif reports how they are slowly going out of fashion.,Sans Serif anaripoti jinsi vituo hivyo vinavyozidi kupitwa na wakati pole pole.
"Jutatip was charged with sedition and violation of the Emergency Decree and the Communicable Diseases Act, among other charges.","Jutatip alishtakiwa kwa uchochezi, kukaidi Amri ya Dharura na Sheria ya Magonjwa ya Kuambukiza, pamoja na mashtaka mengine."
"Suu Kyi's impending freedom was later doubted when the Burmese top court rejected her final appeal against her house arrest this Friday, making the people anxious whether she will be released or not.","Mategemo ya uhuru wa Suu Kyi yalitiliwa mashaka baada ya mahakama ya juu nchini Burma kukataa rufaa yake ya mwisho dhidi ya kifungo cha nyumbani Ijumaa, na kuwafanya watu wawe na wasiwasi kuwa angeachiwa au la."
A screen shot of a page which used to allegedly sell Syrian antiques on Facebook is no longer available,A screen shot of a page which used to allegedly sell Syrian antiques on Facebook is no longer available Picha ya ukurasa huo unaodaiwa kuuza sarafu za Kisyria kwenye mtandao wa Facebook ambao kwa sasa haupatikani
"Recalling the life-threatening risks along their journey is often very distressing and in many instances, most migrants wish to forget and move forward with their lives and therefore tend not to share their experience with peers who are still back home.",Wakikumbuka hatari dhidi ya maisha katika safari yao huwa inawasononesha sana na mara nyingi hutamani kusahau na kusonga mbele na maisha yao na hivyo wengi huwa hawapendi kushirikisha uzoefu na wenzao walio bado nyumbani.
"Portuguese artist Isabel Fiadeiro (@Isabelfiadeiro) lives in Nouakchott, Mauritania, where she paints and runs an art gallery.","Msanii wa Kireno Isabel Fiadeiro (@Isabelfiadeiro) anayeishi katika mji wa Nouakchott, Mauritania, ambako anachora na kuendesha maonyesho ya kazi ya sanaa."
"We are voting, tax paying law abiding citizens like everyone We are not asking for anything special.We should enjoy protection from discrimination.",Tu wapiga kura na raia walipa kodi kama raia wengineHatudai kitu chochote maalum Tunastahili kufurahia ulinzi dhidi ya unyanyapaa.
"From the Foreign Policy blog, ""The World Cup's biggest concern is a trumpet,""","Kutoka blogu ya Foreign Policy, “Jambo kubwa zaidi katika kombe la Dunia ni tarumbeta,”"
They enthusiastically demanded an independent presence for women in the city’s electoral space.,Walidai uwepo huru wa wanawake kwenye anga ya uchaguzi.
"Jillian, who joined Global Voices in 2007 and serves on the board as volunteers' representative, was awarded $250,000 for OnlineCensorship.org, a platform she'll develop with colleagues at the Electronic Frontier Foundation, where she's Director for International Freedom of Expression.","Jillian, aliyejiunga na Global Voices mwaka 2007 na kufanya kazi kwenye jukwaa hili kama mwakilishi wa kujitolea, alitunukiwa kiasi cha dola za Marekani 250,000 kwa ajili ya OnlineCensorship.org, jukwaa atakalolianzisha yeye pamoja na wenzake katika taasisi ya Electronic Frontier, ambapo, yeye ni mkurugenzi wa taasisi ya Uhuru wa Kimataifa wa Kujieleza."
Follow our in-depth coverage: The Struggle to #StopEbola in West Africa,Tunaamini kuwa hali hii haileti usawa na wala siyo sahihi.
High schoolers in prison for scribbling on a portrait of the President #Nkurunziza.,Wanafunzi wa sekondari ya juu wapo jela kwa kuchorachora picha ya Rais #Nkurunziza.
"In less than three days, more than 600,000 people have watched it.","Takriban baada ya siku tatu, video hiyo imetazamwa na watu zaidi ya laki sita."
Alef has also uploaded several faxes that this site exchanged with Oxford University on the issue.,Vilevile tovuti ya Alef imepandisha kwenye ukurasa wake faksi kadhaa ambazo iliandikiana na Chuo Kikuu cha Oxford kuhusiana na jambo hili.
"Wearing white and carrying candles, Venezuelans prayed for the students who died on February 12th.","Wakipepea vitambaa vyeupe na kukeba mishumaa, Wavenezuela hao walifanya maombi kwa ajili ya wanafunzi waliouawa tarehe 12 Februari."
The committee found Malema guilty on two main charges.,Kamati ilimtia hatiani kwa mashitaka mawili.
It will be the first time a pope visits North Macedonia.,Itakuwa ni mara ya kwanza kwa Papa kutembelea Makedonia Kaskazini.
"In its post-independence existence, Africa has had its fair share of coups and counter-coups and civil wars.","Katika kipindi cha baada ya uhuru, Afrika imekuwa na mchango wake wa kutosha kwenye mapinduzi na visasi vya kupindua waliopindua pamoja na vita vya wenyewe kwa wenyewe."
"The last aspect deals with how the punditry overestimated the strength of the main challenger, John Tembo, in his party's alliance with the United Democratic Front (UDF).","Suala la mwisho linazungumzia jinsi wataalamu wa mambo walivyokisia vibaya uwezo wa mpinzani mkuu, John Tembo, haswa matokeo ya mseto alioingia na chama cha United Democratic Front (UDF)."
"On Twitter and Facebook, @verdademz, @canal_moz and other netizens report.","Kwenye mtandao wa Twita na Facebook, @verdademz, @canal_moz na ripoti nyingine za watumiaji wa mitandaoni."
"Fortunately or unfortunately, the market’s days are numbered.","Kwa bahati nzuri au mbaya, siku za zoko hilo zinahesabika."
"The deadline is June 27, 2014.","Tarehe ya mwisho ya kuwasilisha ni Juni 27, 2014."
The speech will be livestreamed at www.whitehouse.gov/live.,Hotuba itarushwa moja kwa moja kwenye www.whitehouse.gov/live.
The Qatar-based channel is being accused of siding with the Muslim Brotherhood and being its mouthpiece.,Kituo hicho cha televisheni kilichopo nchini Qatar kinatuhumiwa kuegemea upande wa wafuasi wa Muslim Brotherhood na kugeuka kuwa mdomo wa kikundi hicho.
"Despite nation-wide problems with the Internet on April 6 and 7 (the government forces blocked several popular websites ""Azattyk"" (RFERL), 24.kg, ferghana.ru, LJ user sabinareingold reported), the Kyrgyz revolution came out to be very well-documented.","Licha ya matatizo ya nchi nzima ya Intaneti mnamo tarehe 6 na 7 Aprili (vikosi vya serikali vilizuia tovuti maarufu kama vile ""Azattyk"" (REFERL), 24.kg, ferghana.ru, LJ user sabinareingold alivyotaarifu), mapinduzi ya Kirigistani yametokea kuwa yenye kuwekwa katika kumbukumbu zaidi kulinganisha na mengine."
We are a smart nation.,Sisi ni taifa la werevu.
"Yet, it is safe to say that, until Sweden decided that it would reduce its support to the Mozambican budget last year, most of the tension between donor countries and the receiving government remained behind closed doors.","Hata hivyo, ni sawa kusema kuwa, mpaka Sweden ilipoamua kwamba itapunguza msaada wake kwenye bajeti ya msumbiji mwaka jana, misuguano kati ya nchi wafadhili na na serikali inayopokea viliendelea kubaki ndani ya milango iliyofungwa."
"As a result, the transition from school to work is more often than not unsuccessful and youth end up either unemployed or underemployed in the rural, suburban and urban informal sectors.","Matokeo yake, mpito kutoka shule kwenda kazini mara nyingi zaidi huwa bila mafanikio na vijana wanaishia kuwa ama wasio na kazi au wenye kazi duni zisizo rasmi katika maeneo ya vijijini, mijini midogo na mijini."
Mugabe made the above comment at the Earth Summit while responding to former UK leader Tony Blair's criticism of his land reform.,"""Kwa hiyo Blair, ilinde nchi yako Uingereza na mimi niache niilinde nchi yangu Zimbabwe”. - Robert Mugabe Mugabe alisema hayo kwenye Mkutano wa Dunia pale alipojibu ukosoaji wa kiongozi huyo wa zamani wa Uingereza kuhusu mpango wa Mugabe wa utaifishaji ardhi."
She told Global Voices that anonymous notes left at her door threatened to kidnap her if she refused to reveal Besigyes exit route from his house.,Aliiambia Global Voices kuwa ujumbe wa maandishi kutoka kwa watu wasiojulikana uliachwa mlangoni pake ukitoa vitisho vya kumteka iwapo angekataa kutoa siri ya njia atakayotumia Besigye kutoka nyumbani kwake.
Minister of Defence Mosiuoa Lekota;,Waziri wa Ulinzi Mosiuoa Lekota;
It prevents her from getting nutrients to all her cells and therefore growing.,Unamzuia kupeleka virutubisho kwenye seli zake na hivyo kuleta matatizo ya ukuaji hafifu.
"On the CNN network's objectivity while airing the clashes instigated by MB supporters, May Kamel highlighted:","Kuhusu kutokupendelea kwa CNN wakati wa kutangaza mapigano yaliyoanzishw ana wafuasi wa MB, May Kamel aligusia:"
"If the media and the opinion keep quiet on this infringement of freedom of expression and the violation of a citizen's rights, then tomorrow any court can charge a journalist for criticizing the president of the republic, an army official, a minister or a deputy.","Kama vyombo vya habari na maoni huru ya watu yanabaki kimya kulaani uvunjifu huu wa uhuru wa kujieleza na uvunjifu wa haki za binadamu, basi kesho mahakama yoyote inaweza kumshitaki mwandishi kwa kumkosoa rais wa jamuhuri, au afisa wa jeshi, waziri au hata naibu waziri."
"The rising cost of maintaining four private jets has forced flamboyant Nigerian pastor, Bishop David Oyedepo, to set up a commercial airline that uses four airplanes that had hitherto served as part of his private fleet.","Kupanda kwa gharama za uendeshaji wa ndege nne binafsi kumemlazimu mchungaji huyo wa ki-Naijeria anayependa kuvaa nguo za gharama kubwa, Askofu David Oyedepo, kuanzisha shirika la ndege la kibiashara ambalo litatumia ndege hizo nne ambazo mpaka sasa zinatimika kama sehemu ya usafiri wake binafsi."
"Express your view and experiences in your blog, and let’s stand together in discussing inequality in all its forms.","Toa maoni yako na uzoefu wako kwenye blogu yako, na tusimame pamoja kujadili kila aina ya hali za kutokuwepo kwa usawa."
May be Meena’s accent struck to my mind since then and I believe that feeling helped me in my voice over for Meena.,Labda mtazamo wa Meena ulinikaa zana akili mwangu tangu awali na ndio maana ninaamini hisia hizi ndizo zilizonisaidia kumtangaza Meena.
