yo,sw
"Nígbàtí ojúṣe ìyá ńyí padà àti wípé ó ńpọ̀si, ìfẹ́, ìkẹ́, ìgẹ̀ àti àdúrótí tí ìyá fún ni, kò gbọ́dọ̀ dáwọ́ dúró.","Huku ikiwa ni jukumu la mama lazima libadilishwe na liansishe, upendo, ulezi, utunzi, na utiaji moyo mama anaowapa watoto kamwe usikome."
Àríyànjiyàn lórí àkójọpọ̀ tí ó ṣe pàtó sọ wípé kò ṣeé ṣe fún ìlànà àkójọpọ̀ láti dàgbà nípa ọ̀nà tí a kò fètò sí.,Mchanganyiko dhahiri wajadili kuwa ni vigumu kwa mitindo tata kuanzishwa kupitia kwa mpango usio na utaratibu.
"Ní àkókò ìkún omi, a tú àgbá omi sórí ayé (Jẹnẹsisis 7:11), ó fi òpin sí àyíká tí o bójúmu.","Mwanzo 7:11 yaonyesha kwamba, katika wakati wa gharika, kivuli cha maji kilimwagwa juu ya nchi, na kuatarisha maisha."
"Fún àpẹẹrẹ, a ríi kedere wípé ojú ènìyàn jẹ́ ètò tí ó wúlò púpọ̀.",Kwa mfano chijo la mwanadamu kwa kawaida ni la maana sana.
"Iru ibere ti o ma n wa si okan mi, ti emi ba wa ninu ironu, “nje ise ti Olorun ni eyi, tani o da mi?” “nje Olorun yi kere lati ran mi lowo?” Nje iponju ti mo wa yi tobi ju fun?”","Maswali yaliyonijia nilipokuwa katika shimo hilo la kihisia yalikuwa, “je haya ni mapenzi ya Mungu aliyeniumba?” “Je, Mungu ni mdogo sana kiasi cha kuwa hawezi kunisaidia?” “Je, shida zangu ni kubwa sana kuliko uwezo wa Mungu?”"
"Nítorí wípé àgbékalẹ̀ nílo wípé kí á lo alágbékalẹ̀ tí ó jáfáfá, yíyọjú àgbékalẹ̀ túmọ̀ sí àrídájú fún alágbékalẹ̀.","Kwa vile mchoro njia nyingine walazimisha mchoraji wa hali ya juu, umbo la mchoro umetajwa kama thibitisho kwa mchoraji."
Wọ́n gbìyànjú láti túmọ̀ àkójọ ọ̀rọ̀ fún àlàyé gẹ́gẹ́ bíi àrídájú wípé àwọn irú àwọn ìran olóyè àkàndá ẹ̀dá tí ó ńrìn nílẹ̀ (àjòjì) ló fúnrúgbìn ayé.,Wanajaribu kufasiri orodha kama thibitisho kwamba nchi ilifanywa na mikimbio mifupi ya viumbe visivyo vya dunia (vigeni).
"Ẹ̀kejì, òfin yìí ńkọ́ ẹ̀kọ́ ẹ̀mí pàtàkì.","Pili, sheria ilifunza somo la maana sana kiroho."
(c) Awon ti o gbagbo je atunbi (irapada) nigbati a gbagbo (Johannu 3:3; Titu 3:5).,(c) waumini huzaliwa mara ya pili (hufanywa upya) wanapoamini (Yohana 3:3; Tito 3:5).
"Bí èyí bá ti lẹ̀ jẹ́ òtítọ́ (èyí tí àwá takò gidi gan), ní ti àwọn ẹ̀rí ti àtijọ́, àwọn àkọsílẹ̀ ti kò tó igba (200) ọdún lẹ́yìn tí ìṣẹ̀lẹ̀ ṣẹlẹ̀ ni a kà sí àwọn ẹ̀rí tí ó ṣée gbáralé.","Hata kama ilikuwa hivi (wazo ambalo twalipinga), kwa ushahidi wa kale, uandishi chini ya miaka 200 baada ya matukio kutokea inachukuliwa kuwa ushahidi wa kutosha kuaminika."
"Àríyànjiyàn míìrán tako ìwò sìgá mímu ni wípé ọ̀pọ̀lọpọ̀ àwọn ènìyàn Ọlọ́run ńmu sìgá, bíi gbajúmọ̀ oníwàásù òyìnbó C.H.",Hoja nyingine kinyume na mtazamo wa uvutaji ni kwamba watu wengi wa Mungu wamekuwa wavutaji wakati mmoja kama vile mhubiri mashuhuri wa Uingereza C.H.
"Eyi je awon ohun pataki ti ani lati wo ti a be fe mo n nipa Bibeli wipe o wa lati odo Olorun, lati orun wa, ti o si je gbogbo iranlowo fun igbagbo ati ise.","Haya ndiyo baadhi ya maswali ambayo yanahitajika kuangaliwa kama ni tunahitaji kujua kweli biblia ni neno al Mungu, lilitoka kwake na lenye kujitosheleza katika mambo yote ya kiimani."
"Ìgbàgbọ́ rẹ̀ ni ìgbàgbọ́ wípé Jésù kú fún ẹ̀ṣẹ̀ òun tí ó sì jí dìde padà, nítorí wípé ìròyín tí Pọ́ọ̀lù àti Sílà ńwàásù rẹ̀ nìyẹn (wo Romu 10:9-10 àti 1 Kọrinti 15:1-4).","Sy geloof het ook ingesluit dat Jesus vir ons sonde gesterf het en weer opgestaan het, want dit was die boodskap wat Paulus en Silas verkondig het (sien Romeine 10:9-10 en 1 Korinthiërs 15:1-4)."
"Wíwo àwòrán ènìyàn ní ìhòhò a máa wu ""ìfẹ́kúfẹ̀ tí ẹran ara àti ìfẹ́kúfẹ̀ ti ojú"" (1 Johannu 2:16) nítorí náà Ọlọ́run sì tún ṣe ìdálẹ́bi rẹ̀ pẹ̀lù.",Ponografia yahuitaji “tamaa ya mwili na tamaa ya macho” (1 Yohana 2:16) na kwa hivyo imeshutumiwa vilevile na Mungu.
"Àkọ́kọ́, ọ̀nà tí ó tọ́ láti túmọ̀ Ìwé Mímọ́ nílò wípé kí á túmọ̀ ìwé Mímọ́ ní ọ̀nà tí ó wà ní ìbámu pẹ̀lú èròǹgbà rẹ̀.",Eerstens die behoorlike manier om Skrif te vertolk beteken dat die interpretasie op ‘n manier moet wees wat konstand is met die konteks waarin dit gebeur.
"Kọrinti kínní 12:13 sọ wípé, ""Nítorípé nínú Ẹ̀mí kan li a ti baptisi gbogbo wa sínú ara kan, iba ṣe Ju, tàbí Hellene, iba ṣe ẹrú, tàbí omnira; a si ti mú gbogbo wa mu ninu Ẹ̀mí kan."" Ìwé Romu 8:9 sọ fún wa wípé bí ẹnìkan kò bá ní Ẹ̀mí Mímọ́, òun kìí ṣe ti Kristi: ""Ṣùgbọ́n ẹyin kò sí nínú ti ara, bíkòṣe nínú Ẹ̀mí Ọlọ́run ńgbé inú yin.","Wakoritho wa Kwanza 12:13, “Kwa maana katika  Roho mmoja sisi sote tulibatizwa kuwa mwili mmoja,  kwamba tu Wayahudi, au kwamba tu Wayunani; ikiwa tu watumwa au ikiwa tu  huru; nasi sote tulinyweshwa Rooho mmoja.” Warumi 8:9 yatuambia kwamba kama mtu hana Roho Mtakatifu huyo mtu si wa Kristo: “Lakini ikiwa Roho wa Mungu anakaa ndaani yenu, ninny hamwufuati mwili; bali mwaifuata roho."
"Ìdàgbà ti ẹ̀mí ni a ṣe àpèjúwe ní ọ̀nà tí ó dára jùlọ ní Peteru keji 1:3-8, èyí tí ó sọ fún wa wípe nípa agbára ti Ọlọ́run àwa ní ""ohun gbogbo tí àwa nílò"" láti gbé ìgbe-ayé ìwà-bí-Ọlọ́run, èyítí ó jẹ́ ìlépa ìdàgbà ti ẹ̀mí.","Kukua kiroho imeelezwa vizuri sana katika 2 Petero 1:3-8, ambayo yatuambia kwamba kwa nguvu za Mungu “tuko na kila kitu tutakacho” kuishi maisha ya kiungu, ambayo ndio lengo la kukua kiroho."
"Àpọ́stélì Pọ́ọ̀lù sọ wípé Kristiẹni kọ̀ọ̀kan gbọ́dọ̀ pinnu láti kíyèsí Ìsinmi , ""Ẹlòmíì ńbuyìn fún ọjọ́ kan ju òmíràn lọ: ẹlòmíì ńbuyìn fún ọjọ́ gbogbo bákanáà.","Mtume Paulo alisema kwamba kila mkristo amue mweneyewe kama ataifuata sabato, “Mtu mmoja afanya tofauti kati ya siku na siku; mwingine aona siku zote kuwa sawasawa."
Ọlọ́run kò ní ṣì wa darí lòdí sí ohun tí Òun tí kọ́ wa nínú Ọ̀rọ̀ Rẹ̀ (Titu 1:2).,"Mungu hawezi kutuongoza, au kutuelekeza kinyume na chenye amefunza au ameahidi katika neno lake (Tito 1:2)."
"It does not envy, it does not boast, it is not proud.","Kìí ṣe ìlara; ìfẹ́ kìí sọ̀rọ̀ ìgbé-raga, kìí fẹ̀."
"Luku 1:35 wípé, ""Áńgẹ́lì náà sí dáhùn ó sì wí fún un pé, Ẹ̀mí Mímọ́ yíò tọ̀ ọ́ wá, àti agbára Ọ̀gá ògo yíò síji bò ọ́.","Luka 1:35 yasema, “Malaika akajibu akamwambia, Roho Mtakatifu atakujilia juu yako, na nguvu zake Aliye juu zitakufunika kama kivuli; kwa sababu hiyo hicho kitakachozaliwa kitaitwa kitakatifu, Mwana wa Mungu.”"
"Bíbélì kò gbà wípé òun ni ìmísí Ọlọ́run nìkan, ṣùgbọ́n ó tún ní agbára tó tayọ láti yí wa padà kí ó sì sọ wá di ""pípé.""","Bibilia yasema haina pumzi ya Mungu pekee, bali ina uwezo wa kutubadilisha na kutufanya tuwe “wakamilifu” Je!"
"Nítorínáà, àwọn ẹ̀bùn ìsọtẹ́lẹ̀, ìmọ̀, ọgbọ́n, àti bẹ́ẹ̀bẹ́ẹ̀ lọ wúlò fún àwọn Kristiẹni àkọ́kọ́ láti lè jẹ́ kí wọn mọ ohun tí Ọlọ́run fẹ́ kí wọn ṣe.","Kwa hivyo, vipawa vya unabii, maarifa, hekima na kadhalika vilikuwa vya muimu kwa sababu ya Wakristo wa kwanza wajue chenye Mungu anawahitaji wafanye."
"Ki enia Olorun ki o le pe, ti a ti mura sile patapata fun ise rere gbogbo.","(2) Neno la Mungu, Biblia – Timotheo wa pili 3:16-17 inasema ya kwamba Mungu ametupa neno lake ili lituandae katika kufanya kazi njema."
Ikú Jésù l'órí igi àgbélèbú ló pèsè fún ìyè wa l'ẹ́kùnrẹ́rẹ́.,Matezo yake kwa ajili yetu yalimazika.
"Kìí ṣe apá Bíbélì tó ní íṣe pẹ̀lu ẹ̀sìn nìkan lóní ìmísí, ṣùgbọ́n gbogbo Ọ̀rọ̀ láti Jẹnẹsisi títí dé Ifihan.","Si sehemu ya Bibilia ambayo yashughulikia imani za dini ambazo ziko na pumzi, bali ni kila neno kuanzia Mwanzo hadi Ufunuo."
Àwọn Jùú jẹ́ àwọn ìran tí ó ti ara Isaaki wá láti ọ̀dọ̀ Abráhámù.,Wayahudi ni uzao wa Isaka mwana wa Abrahamu.
"Sugbon Oluwa fi ara re han ninu Bibeli di e di e fun odun die, gbogbo ohun ti omo enia ni lati mo nipa Olorun lati le gbe igbesi aye dardara wa ni be.",Ijapokuwa ufunuo wa Mungu katika biblia umetolewa kwa mfululizo ndani ya takriban miaka 1500 umehifadhi kila kitu mwanadamu anahitaji kumjua Mungu ili awe na ushirika mwema naye.
English,English
"Àwọn ìgbà báyìí jẹ́ àkòkò tí ó yẹ láti fi kọ́ ọmọ wípé Ọlọ́run a máa báwa wí nítorí ó fẹ́ràn wa, àti wípe, à ńṣe èyí fún àwọn ọmọ wa pẹ̀lú gẹ́gẹ́ bí òbí.","Nyakati hizi ni nyakati kamilifu kumfunza mtoto kuwa Mungu anatuadhibu kwa sababu anatupenda, vile tunavyofanya kwa watoto wetu."
Ìhìnrere náà ni wípé Jésù kú ó sì jí dìde; àwọn tí ńlọ sí ọ̀run ti gba ìhìnrere yìí nípa ìgbàgbọ́.,"Hetsy mens dit sien as bekrompe of ruimhartig, dit is die waarheid, en Christene moet die duidelike, onbesoedelde boodskap dat die enigste weg na die hemel deur Jesus Christus is, handhaaf."
"Èyí kìí ṣe pípín ìhìnrere nìkan, ṣùgbọ́n àwọn pípèsè ohun ìní (oúnjẹ, aṣọ, ilé) ní bí ó ti tọ́ àti bí ó ti yẹ.","Hii haimanishi kushiriki injili pekee, pia kutoa msaada kama wa (chakula, nguo and makazi) vile inavyostahili na kuitajika."
"Sugbon emi re si was aye, o si gbo ohun Baba.",Lakini roho yake ilifufuliwa naye akaikakabidhi Baba.
"Èyí ni àádọ̀rin méje ọdún, tàbí irinwó lé ní àádọ̀run (490) ọdún.",Miaka sabini mara saba au miaka 490.
Pada si oju ewe Yorùbá,Terug na die Afrikaanse tuisblad
Níní Isrẹli gẹ́gẹ́ bíi orílẹ̀-èdè tí ó ní ilẹ̀ tirẹ̀ ṣe pàtàkì ní ìlànà pẹ̀lú àṣọtẹ́lẹ̀ òpin ayé nítorí àìfarasin Isrẹli nínu ẹ̀kọ́ òpin ayé (Daniẹli 10:14; 11:41; Ifihan 11:8),Kuwa na Israeli kama taifa linalojisimamia katika ardhi yao ni muimu kwa ufunuo wa nabii wa nyakati za mwisho kwa sababu ya Israeli itatawala nyakati za mwisho (Danieli 10:14; 11:41; Ufunuo Wa Yohana 11:8)
Ba wo ni eje ara wa se ri ?,Kutazama nyakati kwetu hakutokani na saa za mikono balikazi za mkono wa Mungu --- kuzunguka kwa dunia (na hali za kitonoradi za atomi ya cesium-133).
Ọkùnrin kan ní ìlú Gíríkì tí Fílíppì bèèrè ìbéèrè kannáà lọ́wọ́ Pọ́ọ̀lù àti Sílà.,‘n Man in die Griekse stad Filippi het ‘n soortgelyke vraag aan Paulus en Silas gevra.
"A mọ̀ láti Ifihan 20:7-15 wípé ìdájọ́ yìí yóò wáyé lẹ́yìn ẹgbẹ̀rún ọdún àti lẹ́yìn tí a ti sọ Satani, ẹranko búburú nìì, àti wòólì èké sínú adágún iná (Ifihan 20:7-10).","Tunajua kutoka ufunuo 20:7-15 ya kwamba hukumu itafanyika baada ya kipindi cha miaka elfu moja na baada ya Shetani, mnyama na nabii wa uongo wametupwa katika ziwa la moto (Ufunuo Wa Yohana 20:7-10)."
"Nínú Májẹ̀mú Láíláí, Ọlọ́run pín ènìyàn sí ""ẹ̀yà"" méjì: àwọn Júù àti Kèfèrí.","Katika Agano La Kale, Mungu aliwaganya wanadamu katika “vizazi” viwili: Wayahudi na watu wa mataifa."
Ó ńmú kí á rántí ikú àti àjíǹde Olúwa wa kí á sì máa wá ìpadàbọ̀ ológo Rẹ̀ ní ọjọ́ iwájú.,Kinatufanya kukumbuka kifo cha Bwana wetu na kufufuka kwake na tutazamie kurejea kwake kwa utukufu mawinguni.
Adura elese je adura enia I an gba si Olorun nigba ti won ba mo wipe elese ni awa a si fe irapada.,Hatua ya kwanza ya Ombi la mwenye dhambi ni kufahamu ya kwamba sisi sote ni wenye dhambi.
"Ki omo leyin Kristi le ma ni igbala, o ni lati kuro ninu ara Kristi.","Kwa muumini kuondolewa wokovu wake, ingehitajika atolewe na atenganishwe kutoka ndani ya mwili wa kristo."
Ìbéèrè yìí ni àìmọye ènìyàn láti ìgbà pípẹ́ ti béèrè.,Swali hili limekuwa likiulizwa na watu wasiowezahesabika katika vizazi vingi.
English,English
Ẹskatọ́lọjì ni ẹ̀kọ́ nípa òpin ayé Angẹlọ́lọjì ni ẹ̀kọ́ nípa àwọn angẹ́lì.,Niumatolojia (Pneumatology) ni somo la Mungu Roho Mtakatifu.
"Nítorínáà, báwo ni nkò ṣe ní lọ sí ọ̀run-àpáàdì?","So, hoe kan ons die hel vryspring?"
"Àwa lè rí láti àwọn ẹsẹ wọ̀nyìí wípé ó jẹ́ èròngbà Ọlọ́run tí ó ga jùlọ kí a darapọ̀ mọ́ Òun ní ilé ayérayé Rẹ̀, ọ̀run.","Tibitisho kuu la upendo wa Mungu limeelezwa kwetu sisi katika Yohana 3:16 “Kwa maana jinsi hii Mungu aliupenda ulimwengu, hata akamtoa Mwanawe pekee, ili  kila mtu amwaminiye asipotee, bali awe na uzima wa milele.” Warumi 5:8 yakiri ujumbe sawa na wa Yohana: “Bali Mungu aonyesha pendo lake yeye mwenyewe kwetu sisi, kwa kuwa Kristo alikufa kwa ajili yetu, tulipokuwa tungali wenye dhambi.” Tunaweza kuona kutoka aya hizi kuwa nia kuu ya Mungu ni tuwe pamoja naye katika mji wake wa milele, mbinguni."
Àwọn tí ó wà ní ọ̀run-àpáàdì yóò mọ̀ wípé ìjìyà wọn ni àti wípé àwọn nìkan l'óni ẹbí (Deutarọnọmi 32:3-5).,Wale walio jahannamu watajua kwamba hukumu yao ni ya haki na wao wenyewe ndio watajilaumu (Kumbukumbu La Torarti 32:3-5).
Ẹnìkan kò nílò láti kọ́ ọmọdé bí yóò ṣe d'ẹ́ṣẹ̀.,Motto haitaji kufunzwa na mtu yeyote kutenda dhambi.
"Ó burú gidigidi láti pànìyàn ju kí á kórìíra ènìyàn lọ, bí ó tilẹ̀ jẹ́ wípé àwọn méjèèjì jẹ́ ẹ̀ṣẹ̀ ní ojú Ọlọ́run.","Itakuwa mbaya sana ukiua mtu kuliko kuchukia mtu, hata kama zote ni dhambi mbele za Mungu."
Pada si oju ewe Yorùbá,English
Ẹ̀rí kejì fún ìwàláàyè òtítọ́ pátápátá ni sáyẹ́nsì.,Thibitisho la pili la uwepo wa ukweli halisi ni sayansi.
Ó máa ńmú ìwúrí bá àwọn ìgbé-ayé wa.,Husukuma sehemu nyingi za maisha yetu.
"Rínrìn ní ọ̀nà tí ó yẹ Kristi jẹ́ láti jọ̀wọ́ ara wa ní ìrẹ̀lẹ̀ sì Ọ̀nà kan ṣoṣo náà, Òtítọ́ kan ṣoṣo náà àti Ìyè ṣoṣo kan náà ní ìpìlẹ̀ ọjọ́ dé ọjọ́, ìgbà dé ìgbà.","Kutembea kadri na namna Yesu alitembea na kujitoa kwa unyenyekevu kwa njia moja peke, njia peke ya kweli na maisha peke siku baada ya siku, wakati hadi wakati."
"Ti a ba wo, nipa wipe Emi Mimo wa ni ibi gbogbo fi han ni Orin Dafidi 139: 7-8 “Nibo ni o gbe lo kuro lowo emi re?","Roho mtakatifu yuko kila mahali katika Zaburi 139:7-8, “nitaenda wapi nijifiche na Roho?"
Won ma n fun awon enia ni ohun ti ko won tabi oti ofe ti o n fa imuki mulati le naa owo re.,wakati mwingine hutoa vileo kwa bei nafuu au hata bure kinachorahisisha kulewa ili mtu asiweze kufanya uamuzi tena wa busara kwa kuwa amelewa sana.
"Ọ̀rọ̀ Gíríkì, tí a túmọ̀ sí ""ìtẹríba,"" hupotasso, jẹ́ irú ọrọ̀-ìṣe kan tí ó ńtẹ̀síwájú.","Neno la Kiyunani ambalo limefasiriwa “kutii,” hupotasso, ni uendelezo wa kitenzi."
Ìdánilójú ìgbàlà wa dá lórí ìgbàlà pípé àti kíkún èyítí Ọlọ́run ti pèsè fún wa nípasẹ̀ Jésù Kristi.,Uakikisho wetu uko katika misingi ya upendo wa Mungu katika Yesu Kristo.
Kínni Bíbélì sọ nípa bóyá àwa yóò le dá ènìyàn mọ̀ ní ayé tí ó ńbọ̀?,Bibilia inasema nini kuhusu kama tutaweza kuwatambua watu katika maisha ya baadaye?
"Ninu Kristi, iwo yi o ni lati según orisirisi, sugbon iwo yi o ni IRETI.","Ukiwa unatamani kumwamini Yesu kristo awe mwokozi wa maisha yako, sema maneno haya moyoni mwako kwa Mungu."
"Ohun ati awon ti o n tele je ota Oluwa (1 Peteru 5:8) satani a ma paro fun awon enia pe ohun dara (2 Korinti 11:14), sugbon o ni agbara lori awon ti ko si ninu Oluwa.","Yeye mwenyewe alisema katika Yohana 14:6, “Mimi ndimi njia, na kweli, na uzima; mtu haji kwa Baba ila kwa njia ya mimi” (TMP)."
"Lákótán, ó ń wo ìgbà tí ó lè jẹ́ alábápín nínú ""àjíǹde kúrò nínú òkú""","Hatimaye, alitazamia wakati ambao atakuwa mmojawapo wa watakao “fufuka kutoka kwa wafu.”"
"Lorisirisi ona ni Jesu te rib a ni ninu iwe mimo (Matteu 2;11, 14;33, 28;9,7, Luku 24;25, Johannu 9;38).","Mra nyingi Yesu katika maandiko aabudiwa (Mathayo 2;11; 14:33; 28:9,17; Luka 24:52; Yohana 9:38)."
"Ọ̀nà tí ó dára jùlọ láti bá àwọn ọmọ wi lè jẹ́ iṣẹ́ tí ó le láti kọ́, ṣùgbọ́n ó ṣe pàtàkì púpọ̀.","Vile unaweza kurudi mtoto wako vizuri sana laweza kuwa jambo gumu kujifunza, lakini ni la muimu."
(ẹsẹ̀ 20),Kutakuwa na umwagikaji wa damu (aya ya 13) na ukatili.
"Nítorínà, gẹ́gẹ́bí ìwòye Ọjọ́'rú, àlàyé kanṣoṣo tí kò takò àkọsílẹ̀ bíbélì nípa àwọn obìnrin náà àti tùràrí èyítí ó sì mú ìtumọ̀ Matteu 12:40 tí ó yẹ dání, ni wípé a kan Kristi mọ́ àgbélèbú ní Ọjọ́'rú.","Kwa hivyo, kulingana na mtazamo wa Jumatano, elezo pekee ambalo halivunji matukio ya bibilia ya wanawake na manukato unashikilia kuelewa juu juu Mathayo 12:40 ya kwamba Kristo alisulubiwa Jumatano."
