Idariji ko see fi eto gba tabi ti owo ra lati odo Olorun.,"Yesu alifufuka katika wafu, akishuhudia ushindi Wake juu ya dhambi na mauti (1 Wakorintho 15:1-28)."
"Eyi je asepo, ko si si ohun ti o ya won pelu ise ti olukaluku nse.",Huu ni uhusiano wa ushirika wao wala hupunguzi uungu wa nafsi yoyote ile.
"Ìkejì, kò sí ibi kankan nínú Ìwé Mímọ́ tí a ti sọ fún àwọn onígbàgbọ́ kí a baptisi wọn pẹ̀lú, nínú tàbí nípasẹ̀ Ẹ̀mí, tàbí ní òye kankan láti wá ìrìbọmi ti Ẹ̀mí Mímọ́.","Pili, hamna mahali katika Bibilia Wakristo wameelezwa wabatizwe, ndani ya, au kwa Roho au kwa vyovyote vile watafute ubatizo wa Roho Mtakatifu."
"Ní títẹ̀lé Deutarọnọmi 6:5, a kà wípé,"" Àti ọ̀rọ̀ wọ̀nyí, tí mo palaṣẹ fún ọ ní òní, kí ó ma wà kí àyà rẹ: kí ìwọ ó sì fi wọ́n kọ́ àwọn ọmọ rẹ gidigidi, kí ìwọ ó sì ma fi wọ́n ṣe ọ̀rọ̀ ìsọ nígbàtí ìwọ bá jókòó nínú ilé rẹ, àti nígbàtí ìwọ bá ńrìn ní ọ̀nà, àti nígbàtí ìwọ bá dùbúlẹ̀, àti nígbàtí ìwọ bá dìde"" (ẹsẹ 6 sí 7).","Tukirudi nyuma kwa aya ya 2 tunasoma, “Upate kumcha BWANA, Mungu wako, kushika amri zake zote, na sheria zake, ninazokuamuru, wewe na mwanao, na mwana wa mwanao, siku zote za maisha yako; tena siku zako ziongezwe.” Kufuatilia Kumbukumbu La Torati 6:5 tunasoma, “Na maneno haya ninayokuamuru leo, yatakuwa katika moyo wako; nawe uwafundishe watoto kwa bidii, na kuyanena uketipo katika nyumba yako, na utembeapo njiani, na ulalapo, na uondokapo” (aya ya 6-7).”"
"Ní ti ìjọ, yóò dára jù kí á pèé ní ""ìbáṣepọ̀ elétò.""","Kwa mjibu wa kanisa, ni afadhali uitwe “uhusiano wa mpangilio/utamaduni.”"
"Fún Májẹ̀mú Titun, ètò ìfihàn àti ìgbájọ bẹ̀rẹ̀ ní ọgọ́rún ọdún àkọ́kọ́ ti Ìjọ Onígbàgbọ́.","Kwa agano Jipya, mjakato wa kuvitambua kusanyiko la vitabu ulianza katika karne ya kwanza ya kanisa la Kikristo."
"Ìtẹ́ ìdájọ́ Kristi, nítorínáà, nííṣe pẹ̀lú kí àwọn onígbàgbọ́ máa sọ àkọsílẹ̀ ohun ti wọn ṣe fún Kristi.","Kiti cha hukumu cha Kristo, kwa hivyo kinahuzisha Wakristo kutoa hesabu ya maisha yao kwa Kristo."
Iwontunwosin imura wa ti Oluwa fe niwipe ki a bo ara pelu aso ni ibi ti o ye ki a bo.,Biblia haituamuru kinyume cha chale na alama za mwili lakini pia haituonyeshi ya kuwa ana haja na alama hizo miilini mwetu.
Àwọn tí ó wà ní ọ̀run-àpáàdì yóò mọ ìdájọ́ Ọlọ́run tòótọ́ (Orin Dafidi 76:10).,Wale walio jahannamu watatambua haki kamili ya Mungu (Zaburi 76:10).
Awon ti o se buburu yi o ko ja lo sinu ainipekun; sugbon eni oloto si ni iye ainipekun (Matteu 25;46).,"Jehanamu inaelezewa kama shimo la giza (Luka 8:31, Ufunuo wa Yohana 9:1), na ziwa la moto, liwakalo na kiberiti amabpo watakao kuwemo watateswa usiku na mchana milele na milele (Ufunuo 20:10)."
"Ní àyọrísí ìfẹ́ Rẹ̀ fún wa, Ọlọ́run di ènìyàn Ẹni tíí ṣe Jésù Kristi.",Kuwasiliana na Mungu kupitia kwa maombi kunaweza kuwa njia mojawapo ya kuendelea baada ya kumkubali Yesu na kuwa na imani kwake kama mwokozi wa maisha yako.
"Ori 8-10 so nipa okonrin ati obirin, ki se oko ati aya nikan.",Aya za 8 – 10 zazungumzia juu ya wanaume na wanawake kwa jumla swala sio waume kwa wake zao.
"Bí ẹnìkan bá sọ wípé Ọlọ́run ti bá òun sọ̀rọ̀, ríi dájú wípé o ṣe àfiwé ohun tó sọ pẹ̀lú ohun tí Bíbélì sọ nígbàgbogbo.","Ikiwa mtu yeyote anadai kwamba Mungu amemnenea, kila mara linganisha chenye kimesemwa na chenye Bibilia inasema."
Pada si oju ewe Yorùbá,English
"Ìbéèrè náà ni, ọ̀nà wo ni wọ́n ṣe jẹ́ ""ẹlẹ́rí""?","Ni watu hawa ambao wako katika “wingu la mashahidi.” Wao ni “mashahidi” sio kwamba wanatuchungulia, bali kwa hayo wamekwisha tuwekea mfano."
"Pẹ̀lú àwọn àmì wọ̀nyìí ní ọkàn wa, a lè ní òye àti ìmọ̀ nípa ìrèti àwọn àkókò òpin ayé.","Ishara hizi zikiwa katika mawazo, tutakua na hekima ya kutambua na kwa kungojea nyakati za mwisho."
"Bawo ni o se ma dara to ti awa ba tele ona yi; arunkarun ko nip o, awon obirin ti ko se igbeyawo won nip o, oyun ti ako fe ko nip o, iseyun ko nipo, bebe.","Kama jambo hili lingezingatiwa, magonjwa ya zinaa na  wamama wasioolewa na kuavya mimba na kadhalika kungepungua."
Ní àkókò àjọyọ̀ ògbólógbòó Àjọ Ìrékọjá ní àṣàálẹ́ ikú Rẹ̀ ni Jésù ṣe àgbékalẹ̀ oúnjẹ ìdàpọ̀ titun tó l'àpẹrẹ èyí tí à ńṣe títí di òní.,Ilikuwa ni kwa sababu ya siku za kale za pasaka wakati wa kifo chake Yesu mwenyewe akaanzisha kakula cha ushirika mpya cha maana ambacho twakifuata hii leo.
"Ó fún wa ni ""àwọn èròjà"" tí ó yẹ kí ó lọ sínú àdúrà.",Unatupa “viambato” vinavyostahili kwenda kwa maombi.
"Èkejì, ọmọ Ọlọ̀run ní ìgbàgbọ́ nínú Jésù gẹ́gẹ́ bí Olùgbàlà.","Pili, lazima tuwe na imani kwa Yesu kama mwokozi."
"Nítorípé ọkọ ni iṣe orí aya, gẹ́gẹ́ bí Kristi ti ṣe orí ìjọ rẹ̀: oun sì ni Olùgbàlà ara"" (Efesu 5:22 -23).","Kwa maana mume ni kichwa cha mkewe, kama Kristo naye ni kichwa cha Kanisa; naye ni mwokozi wa mwili” (Waefeso 5:22-23)."
"Yóò wá rí bíi wípé àbùdá ẹ̀ṣẹ ńti ìran kan bọ́ sí ìran míìrán nípasẹ̀ bàbá (Romu 5:12, 17.","Itaonekana kuwa hali ya dhambi itapitishwa kutoka kizazi hadi kizazi kingine kupitia kwa baba (Warumi 5:12, 17, 19)."
Bíbélì kò fún wa ní ìdí láti gbàgbọ́ wípé ańgẹ́lì ní ẹ̀dà tàbí agbára láti bí.,Bibilia haitupi sababu yoyote ya kuamini kwamba malaika wako na lengo au wako na uwezo wa kuzaa.
"Ẹ̀kọ́ àkókò tí ó ṣíwájú ẹgbẹ̀rún ọdún ni ìwò wípé ìpadàbọ́ Jésù Kristi kejì yóo ṣẹlẹ̀ ṣíwájú ìjọba ẹgbẹ̀rún ọdún rẹ̀, àti wípé ẹgbẹ̀rún ọdún jẹ́ ìjọba ẹgbẹ̀rún ọdún ní pàtó ti Kristi nínú ayé.",Die voor-duisendjaar is die siening dat Jesus se terugkoms gebeur voor Sy duisendjarige koningryk en dat die duisendjaar ‘n letterlike 1000 jaar is wanneer Jesus op aarde sal regeer.
"Àwọn ogun kan ""dára"" ju àwọn míìrán lọ, ṣùgbọ́n ogun jẹ àyọrísí ẹ̀ṣẹ̀ nígbà gbogbo (Romu 3:10-18).","Vita vingine ni vya “ haki” kuliko vingine, lakini vita kawaida ni kwa mjibu wa dhambi (Warumi 3:10-18)."
"Èròǹgbà Ọ́nánì jẹ̀ ti ìmọtaraẹni nìkan: ó lo Támárì fún ìgbádùn ara rẹ̀, ṣùgbọ́n kò fẹ́ ṣe ojúṣe rẹ̀ tí ó tọ̀nà nípa fífi irù-ọmọ fún arákùnrin rẹ̀ tí ó kú.","Ingawa, haikuwa kabisa tendo la kutumia tembe za upangaji uzazi ambazo zilimfanya Mungu amwue Onani; bali ilikuwa tama iliyokuwa katika kitendo."
"Gege bi Oluwa se jinde ara Jesu, be naa ni ara wa yi o jinde si inu Jesu nigba ti o ba pada wa (1Korinti 6;14).","Kama vile Mungu alivyofufua mwili wa Yesu, vivyo hivyo ndivyo miili yetu itakavyofufuliwa Yesu atakaporudi (Wakorintho wa kwanza 6:14)."
"Àwọn ènìyàn yóò ní òmìnira láti ṣe ohunkóhun tí ó bá wù wọ́n—ìpànìyàn, ìfipabánilòpọ̀, olè jíjà, irọ́, ìrẹ́nijẹ, àti bẹ́ẹ̀ bẹ́ẹ̀ lọ́, kò sí ohun tí ó burú nípa àwọn nǹkan bẹ́ẹ̀ .","Watu watakuwa huru kufanya cho chote watakacho- uuaji, ubakaji, wizi, uongo na ujanja, na kadhalika."
"Wíwà Ọlọ́run gbọ́dọ̀ jẹ́ ìtẹ́wọ́gba nípa ìgbàgbọ́, ṣùgbọ́n èyì kò túmọ̀ sí ìgbàgbọ́ nínú Ọlọ́run jẹ́ àìní ìrònú.","Dit gesê, die bestaan van God kan nie bewys word nie; dit moet in geloof aanvaar word."
Idahun,Jibu
"Bíbélì sọ wípé ""Ki igbeyawo ki o li ọla larin gbogbo èniyàn, ki àkéte si jẹ aláìléèéri: nitori awọn àgbèrè ati panṣaga li Ọlọ́run yóò dá lẹjọ"" (Heberu 13:4).","Bibilia yasema kwamba “Ndoa na iheshimiwe na watu wote, na malazi yawe safi; kwa maana waasherati na wazinzi Mungu atawahukumia adhabu” (Waebrania 13:4)."
Ọlọ́run ńbèèrè ìgbésẹ̀ kan lọ́wọ́ wa—gbigba Jésù Kristi gẹ́gẹ́ bíi Olùgbàlà kúrò nínú ẹ̀ṣẹ̀ kí á sì gbẹ́kẹ̀le Òun nìkan pátápátá gẹ́gẹ́ bíi ọ̀nà ìgbàlà.,Mungu anahitaji hatua moja kutoka kwetu-kumpokea Yesu Kristo kama mwokozi na kumwamini Yeye pekee kama njia ya wokovu.
Bíbélì sọ wípé gbogbo ènìyàn tí ó ti gbé ilé ayé rí ti ṣẹ̀ (Oniwaasu 7:20; Romu 3:23).,Biblia yatangaza kuwa kila mwanadamu ambaye amewai ishi ametenda dhambi (Mhubiri 7:20; Warumi 3:23).
Ṣé a lè sọ wípé sìgá mímu jẹ́ bíbọ̀wọ̀ fún Ọlọ́run pẹ̀lú ara rẹ̀ (1 Kọrinti 6:20)?,Uvutaji unaweza kuhesibiwa kuwa wa “manufaa” (1 Wakorintho 6:12)?
"Ní orílẹ̀-èdè Amẹ́ríkà, a rí àwọn ènìyàn aláwọ̀ dúdú gẹ́gẹ́ bíi ẹrú nítorí orílẹ̀-èdè wọn; ọ̀pọ̀lọpọ̀ àwọn amúnisìn gbàgbọ́ lóòtọ́ wípé ó kù díẹ̀ káàtó fún àwọn ènìyàn aláwọ̀ dúdú.","Marekani, wengi wa watu weusi walichukuliwa kuwa watumwa kwa sababu ya utaifa wao; wamiliki wa wengi wa watumwa kwa kweli waliamini kuwa watu weusi si wanadamu kamili."
Jésù kú dípò wa.,"Kwa ajili ya Yesu kutolewa kama dhabihu, Mungu anatupa wokovu kama tuzo."
"Àkójọpọ̀ Muratory ní gbogbo ìwé Májẹ̀mú Titun àyààfi Heberu, Johannu, ati Johannu kẹta.","Kanoni ya kwanza ilikua ile ya Muratori (Muratorian) ambayo iliwekwa pamoja mwaka wa A.D 170. kanoni ya Muratori ilikuwa na vitabu vyote vya Agano Jipya, Vitabu vilivyokosa ni Waebrania, Yakobo na 3 Yohana."
"Èrò tí ó jáde láti inú ọ̀rọ̀ náà ní ti ìkẹ́ àwọn ọmọ, àbójútó wọn, kíkó wọn mọ́ra pẹ̀lú ìfẹ́, bíbá àìní wọn pàdé àti bíbá ẹnìkọ̀ọ̀kan wọn ṣọ̀rẹ́ pẹ̀lẹ́pẹ̀lẹ́ gẹ́gẹ́ bí ẹ̀bùn tó yàtọ̀ láti ọwọ́ Ọlọ́run wá.","Dhana ambayo yotoka katika maneno haya ni ile ya ulezi wa watoto wetu, kwa upendo kuwakumbatia, kutimiza mahitaji yao, kwa ukarimu kufanya urafiki na kila mmoja kama tuzo la ajabu kutoka kwa Mungu."
"Bẹ́ẹ̀ni, 1 Samuẹli 15:18 sọ wípé, ""Lọ kí o sì pa àwọn ẹlẹ́ṣẹ̀ ará Ámélékì run, kí o sì bá wọn jà títí o fi run wọ́n"" Ó hàn kedere wípé Ọlọ́run kò lòdì sí gbogbo ogun.","Kumbukumbu La Torati 20:16-17 yasema, “ Lakini katika miji ya mataifa haya akupayo BWANA, Mungu wako, kuwa urithi, usihifadhi kuwa hai kitu cho chote kupumzikacho; lakini uwaangamize kabisa, Mhiti, na Mwamori, na Mkanaani, na Mperezi, na Mhivi, na Myebusi, kama alivokuamuru BWANA, Mungu wako.” Pia 1 Samweli 15: 18 yasema, “Kisha BWANA akakutuma safarini, akasema, Enenda ukawaangamize kabisa wale Waamaleki wenye dhambi, upigane nao hata watakapoangamia.” Kawaida Mungu hapingi vita vyote."
"Ṣe a lè lo ọ̀nà míìrán bíi ""fífún ni ní ìsínmi"" dípò ìbáwí nípa nínà?",Aina zingine za adhabu kama vile “kumnyima wakati” zinaweza kutumka kama adhabu ya fimbo?
"Ko si ibere, sugbon, yala boya iwa ti o mu eyi je ese.",Hakuna swali juu ya kuwa kitendo kinachoelekeza mtu katika kujichua ni dhambi pia.
"Ẹ̀sìn Kristiẹni gẹ́gẹ́ bíi Bíbélì, jẹ́ ìbáṣepọ̀ pẹ̀lú Jésù Kristi.","Christenskap, volgens die Bybel, is ‘n verhouding met Jesus Christus."
"Dípò bẹ́ẹ̀, ète ààwẹ̀ gbígbà gbọ́dọ̀ jẹ́ láti mú ojú rẹ kúrò ni àwọn nǹkan ayé láti tẹjúmọ́ Ọlọ́run pátápátá.","Badala ya lengo kuwa, kufunga ni kuyapeleka mawazo yako nche ya vitu vya dunia na kiukamilifu kumtazamia Mungu."
"Òfin Májẹ̀mú Láíláí pàṣẹ ìjìyàà ikú fún onírúurú ìṣe: ìpànìyàn (Ẹ́ksódù 21:12), jíjí ọmọ gbé (Ẹksodu 21:16), bíbá ẹranko dàpọ̀ (Ẹ́ksódù 21:19), panságà; (Léfítíkù 20:10), ìbálòpọ̀ ọkùnrin sí ọkùnrin (Lẹfitiku 20:13), jíjẹ́ wòlí èké (Deutarọnọmi 13:5), aṣẹ́wó àti ìfípábáẹnilòpọ̀ (Deutarọnọmi 22:4), àti onírúurú ọ̀ràn míìrán.","Sheria ya Agano La Kale iliruhusu adhabu ya kifo kwa matendo tofauti tofauti: Uuaji (Kutoka 21:1), utekaji nyara (Kutoka 21: 16), Ukatili (Kutoka 22: 19), uzinzi (Mambo Ya Walawi 20:10), usenge (Mambo Ya Walawi 20:13), kuwa nabii wa uongo (Kumbukumbu La Torati 13:5), ukahaba na ubakaji (Kumbukumbu La Torati 22: 4), na mendo mengine mengi maovu."
"Ọlọ́run ńgba àwọn ìṣẹ̀lẹ̀ láàyè nínú ayé wa láti darí wa, yí wa padà, àti láti ràn wá lọ́wọ́ láti dàgbà l'ẹ̀mí (Jakọbu 1:2-5; Heberu 12:5-11).","Mungu hurusu matukio kutukia katika maisha yetu iliyatuongoze, yatubadilishe, na yatusaidie kukua kiroho (Yakobo 1:2-5; Waebrania 12:5-11)."
"Ó káàdí àṣà náà nípa kíkọ orin kan (Matteu 26:30), wọ́n sì jáde lọ sórí òkè Ólífì.","Kwa kumaliza pasaka aliimba zaburi (Mathayo 26:30), na wakatoka nche usiku wakielekea mulima wa misaituni."
"Lọ́pọ̀ ìgbà, nítorí ẹ̀ṣẹ̀, àwọn kóòdù jẹ̀nẹ́tiki ìran ènìyàn díbàjẹ́ síwájú si, tí àwọn ènìyàn sì ńṣe alábápàdé ikú àti àìsàn síi.","Baada ya muda kwa sababu ya dhambi chembe chembe za mwanadamu iliendelea kuaribiwa, na mwanadamu akaadhirika na kifo na magojwa."
"Nígbàtí èyí jẹ́ àlàyé tí ó ṣeé ṣe, kò sí ibi kankan tí Bíbélì ti fi ìwọ̀n ní pàtó sí ẹ̀mì gígùn àwọn tí a dárúkọ nínú Jẹ́nẹ́sísì orí 5.","Hii ikiwa elezo liwezekanalo, hakuna mahali bibilia inapunguza miaka ya kuishi kwa watu ambao wametajwa katika Mwanzo 5."
"Nítorínáà, kí Ọlọ́run ṣe àwárí wa lóòrèkóòrè níwájú ìtẹ Rẹ̀, nítorí a ní olórí àlúfà ní ọ̀run tí kò lè ṣai ba wa kẹdun ninu ailera wa (Heberu 4:15-16).","Kwa hivyo Mungu anatupata kila mara mbele ya kiti chake cha enzi, kwa vile tuko nakuani mkuu mbinguni anayeweza jua yote amboyo tunayapitia (Waebrania 4:15-16)."
"Ní nǹkan bíi ẹgbẹ̀rún ọdún méjì sẹ́yìn, àpọ́stélì Peteru àti Johannu ńwàásù ìhìnrere Jésù Kristi fún ọ̀pọ̀ èrò ní Jerusalẹmu.","Ongeveer 2,000 jaar gelede het die apostels Petrus en Johannes die Evangelie van Jesus Christus aan ‘n groot skare in Jerusalem verkondig."
"Èkejì, o ṣe pàtàkì láti ráńtí wípé kìí ṣe gbogbo àwọn Árábù ni ó kórira àwọn Júù, kìí ṣe gbogbo àwọn Mùsùlùmí ni ó kórira àwọn Júù, kìí ṣe gbogbo àwọn Júù ni ó kórira àwọn Árábù àti Mùsùlùmí.","Pili, ni muimu kukumbuka kwamba si Waarabu wote wanawachukia Wayahudi, si Waislamu wote wanawachukia Wayahudi, si Wayahudi wote wanawachukia Waislamu."
A nílò láti gbàdúrà wípé kí Ọlọ́run baà lè fún wọn ní ìdánilójú tí wọn nílò ìgbàlà nípasẹ̀ Jésù Krísti (Johannu 3:16).,Tunastahili kuomba kwamba Mungu awathibitishie hitaji lao la wakovu kupitia Yesu Kristo (Yohana 3:16).
"Jesu ku fun wa lori igi agbelebu; “Nitori ti Kristi ese wa dopin, nitori ese wa oloto ku fun awon alaisoto, ki o le mu wa de odo Olorun” ( 1 Peeteru 3;18).","Yesu alitufia pale msalabani “Kwa maana Kristo naye alikufa mara moja kwa ajili ya dhambi, mwenye haki kwa ajili yao wasio haki, ili atulete kwa Mungu’’ (1 Petro 3:18, TMP)."
"Ko da bi ibere, “Nje Oluwa wa?”Awon eniyan die ni o ti bere wipe nje Jesu Kristi wa.",Watu wachache sana huuliza kama Yesu kristo alikuweko.
"Ní bàyí a le yàn bóyá a fẹ́ tàbí a kò fẹ́ dá ẹ̀ṣẹ̀ ara-ẹni nítorí a ní agbára láti d'ojúkọ ẹ̀ṣẹ̀ nípasẹ̀ Ẹ̀mí Mímọ́ ẹnití Ó ngbé inú wa, Óun yà wá sí mímọ́ Òun sì ńdá wa l'ẹ́bìi ẹ̀ṣẹ̀ nígbàtí a bá dá wọn (Romu 8:9-11).","Sasa tunaweza chagua ikiwa tutatenda dhambi au hatutatenda dhambi ya kibinafsi kwa sababu tuko na uwezo wa kuzuia dhambi kupitia kwa Roho mtakatifu ambaye anakaa ndani yetu, anatutakaza na kututhibitishia dhambi zetu wakati tunazitenda (Warumu 8:9-11)."
Tabi iwo yio si duro die latir i gba.,Na sasa utajuaje mapenzi yake juu yako?
Àwọn tí ó gbàgbọ́ nínú ẹ̀kọ́ nípa bíi Ọlọ́run ṣe ńfi ara Rẹ̀ hàn ní sáà kọ̀ọ̀kan rọ̀mọ́ ìtumọ̀ Bíbélì ní ọ̀nà aminiọ́tìkì tí ó dára jù.,Mfumo wa dini ni mpangilio wa kiteolojia ambao uko na misingi miwili tofauti.
Bebeli ni agbara ati ase nitoripe otito oro Olorun ni.,Biblia ina uwezo wa kubadilisha maisha ya mtu kwa kuwa ni neno la Mungu.
Èyí jẹ́ òtítọ́ àgbáyé nínú gbogbo àṣà ní ìgbà gbogbo.,Hii ni kweli kwa kila tamaduni katika nyakati zote.
"A kò fi ipá mú wa láti tẹ̀lé ìsinmi Ọjọ́ Ìsinmi ti Mose, a sì ti di òmìnira báyìí láti tẹ̀lé Iṣẹ́ Kristi tí ó jíǹde.","Hatujaamrishwa kiufuata sheria ya Musa ya sabato ya kustarehe, bali tuko huru kumfuata Kristo aliyefufuka."
"Ore, Oluwa n pe lati tun ile aye re se……, bi igbesi aye re ni sin yi, ti o si pa ara re.","Njoo kwa Yesu, ili akuregeshee furaha na umuhimu wako huku ukimtumainia yeye kuanza kazi mpya maishani mwako."
"Ẹ̀rí ọkàn wa fí dáwa lójú wípé nǹkan kan kò yẹ nípa ìjìyà, ebi, ìfipabánilòpọ̀, ìrora, àti ibi, ó sì jẹ́ kò yé wa wípé ìfẹ́, ìfifúnni, àánú, àti àlàáfíà jẹ́ ohun rere tí ó yẹ kí á tiraka fún.","Akili yetu yatuthibitishia kuwa kuna kitu kibaya na mateso, njaa, ubakaji, uchungu, na uovu, na inatufanya kujua kuwa upendo, ukarimu, huruma, na amani ni mambo yajengayo ambayo tunastahili kuyatafuta."
"Bí a bá túmọ̀ Bíbélì ní àkọsílẹ̀ ṣísẹ̀ntẹ̀lé, gbígbà wípé ìgbàsókè yóò ṣẹlẹ̀ ṣáájú ìpọ́njú ni ó jẹ́ ìtumọ̀ tí ó faramọ̀ Bíbélì jùlọ.",Ikiwa Bibilia anaweza elezewa juujuu basi matezo kabla ya unyakuzi itakua fafanuo ya kibibilia.
Àwọn ẹ̀ṣẹ̀ aṣekúpani méje ní a pè ní ẹ̀ṣẹ ìpìlẹ̀ tó ńṣe àkóbá fún ìran ènìyàn àti àwọn ẹ̀ṣẹ̀ tí ó ṣeé ṣe láti dì mọ́ wa jùlọ.,Eleo mbaya juu ya dhambi saba “mbaya sana” ni kwamba ni zile dhambo ambazo Mungu hawezi kuzisamehe.
"Ìpín yíyàn náà hàn kedere: ""Ẹnikẹ́ni tí ó bá gbàgbọ́ nínú Ọmọ ní ìyè àìnípẹkun, ṣùgbọ́n ẹnikẹ́ni tí ó bá kọ Ọmọ náà kì yí ò rí ìyè, nítorí ìbínú Ọlọ́run ḿbẹ lórí ẹni bẹ́ẹ̀"" (Johannu 3:36).","Hali pekee ambayo mtu hawezi kuwa na msamaha ni ikiwa ako kati ya wale, “yeyote atakaye mwamini” kwa maana ni yule amemkataa Mwana.”"
"Àwọn àpẹẹrẹ ni Jakọbu, Jóséfù, ọkọ Maria; Sọlomọni, Isaiah; Isikiẹli; Daniẹli; Peteru; àti Pọ́ọ̀lù.","Kwa mfano Yusufu, mwana wa Yakobo; Yusufu, mume wa Mariamu; Suleimani; Isaya; Danieli; Petero; na Paulo."
"Ní ìmore, Ọlọ́run fi ìfẹ́ Rẹ̀ hàn sí wa nípa wípé kò dáwa lẹ́bí (Romu 5:8).","Kwa shukrani nyingi, Mungu alionyesha upendo wake kwetu si kwa kutuhukumu (Warumi 5:8)."
"Ní òtítọ́, a fẹ́ẹ̀ le tún ṣe àwọn ìtàn inú ìwé ìhìnrere láti awọn orísun ti kìí ṣe ti àwọn Kristiẹni: A pe Jésù ní Kristi (Josephus), ""pidán"", darí Isrẹli ní àwọn ẹ̀kọ̀ titun, tí a sì fikọ́ sórí igi ní àkókò Ìrékojá fún wọn (Babylonian Talmud) ní Judea (Tacitus), ṣùgbọ́n ti òun jẹ́wọ́ wípé òun jẹ́ Ọlọ́run ti òun yóò si padà (Eliezar), èyí tí àwọn olùtẹ̀lé rẹ̀ gbàgbọ́, tí wọn ńsìn gẹ́gẹ́ bíi Ọlọ́run (Pliny the Younger).","Yesu aliitwa Kristo (Josephus), alitenda “miujiza” aliwaongoza waisraeli kwa mafunzo mapya na aliangikwa siku ya pasaka kwa ajili yao (Ubebari wa kibabeli/ Babylonian Tulmud), katika Yuda (Tacticus), lakini alisema kuwa Mungu na atarudi (Eliezar), ambacho wanafunzi wake waliamini na kumwabudu kyeye kama Mungu (Pliny mdogo)."
Awa se ohun idande ni oju Oluwa ti awa ba ni ireti ninu Jesu Kristi lati gbe ese wa kuro.,Twende kwa nani?
"Ó jẹ́ iyèméjì ńlá, bí ó ti lẹ̀ jẹ́ wípé èyí ńṣẹlẹ̀ l'óòrèkóórè bí àwọn ènìyàn kan ṣe ní ó ńṣẹlẹ̀.","Ingawa ni jambo kubwa la kushuku, kwamba hili hutokea kila mara vile watu wengine hudai."
