ha,yo
'Dole ne mu yi imani da Allah ta wurin bangaskiya kuma mu dogara da hanyoyinsa ta wurin bangaskiya.,We must believe in God by faith and trust His ways by faith.
"Akwai ka'idoji, duk da haka, waɗanda suka shafi shan sigari.","Ṣùgbọ́n, àwọn ìlànà wà, tí ó kan sìgá mímu."
"Wannan ba don mazaje ne lalle sun fi zama malamai masu kyau ba, ko don mataye sun gaza da daraja ko basira ba (wanda ba shi ne ba).","Eyi ko so wipe awon okonrin je oluko gidi ju obirin lo, tabi obirin rele ju tabi won ko ni ogbon to won (eyi ko je be)."
"Halin da ake ciki a duniya a yau shine tsarin halitta, wanda ke amsa tambayoyi uku kamar haka: 1) Mu samfuran ayyukan yanayi ne ba tare da wata ma'ana ba.","Ìwò ayé tí ó gbilẹ̀ jù ni naṣọnálísímù, tí ó dáhùn àwọn ìbéèrè mẹ́ta náà báyìí: 1) Àwa jẹ́ àbájáde àwọn ìṣẹ̀lẹ̀ tí ó kan wáyé, èyí tí kò sí ní ète kankan."
Agnosticism shine ra'ayi cewa wanzuwar Allah bashi yiwuwa a san ko tabbatar dashi.,Ìṣiyèméjì jẹ́ ojú ìwòye wípé ìwàláàyè Ọlọ́run náà kò ṣeé ṣe láti mọ̀ tàbí fihàn.
"Ana yin alawus don alamomi, adadi na magana, da nau'ikan, tabbas.","Bẹ́ẹ̀ sì ni a fi ààyè sílẹ̀ fún àmìn, àkànlò èdè, àti àfiwé."
"A zuwansa na farko, Yesu ya zo cikin ƙasƙancin yanayi.","Ní àkọ́kọ́ wá Rẹ̀, Jésù wá ní ipò tí ó rẹlẹ̀ jù."
"Kazo gun Yesu, ka yardar masa ya maido da farin cikin ka da tasirinka yayin da ka amince da Shi ya fara sabuwar aiki a rayuwar ka.","Ore, Oluwa n pe lati tun ile aye re se……, bi igbesi aye re ni sin yi, ti o si pa ara re."
"Ayoyi 8-10 a fili na magana ga mazaje da mataye dukka ne, ba ga mazaje da mataye ma’aurata ba.","Ori 8-10 so nipa okonrin ati obirin, ki se oko ati aya nikan."
Allah yana amsa duk addu'ar da aka ɗaga zuwa gare shi.,Gbogbo àdúrà tí a bá darí si ọ̀dọ̀ Ọlọ́run ni Òun ńdàhùn.
English,English
Allah a shirye yake kuma yana shirye ya bayyana kansa ta hanyoyi masu ban mamaki don yin waɗanda suka gaskata da shi.,God is ready and willing to reveal Himself in amazing ways to those who will believe in Him.
Nítorí kò sí ẹnìkan tí ó ti kórìíra ara rẹ̀.,He who loves his wife loves himself.
Korantiyawa ta fari 15 ta ci gaba da bayanin yadda tashin Almasihu daga matattu ya nuna nasarar sa bisa zunubi kuma ya bamu ikon rayuwa cikin nasara bisa zunubi (1 Korantiyawa 15:25-34).,"Kọrinti kínní, orí kẹẹ̀ẹ́dógún (15) ńtẹ̀síwájú láti ṣ'àlàyé bí àjíǹde Kristi ṣe fi ìṣẹ́gun Rẹ̀ lóri ẹ̀ṣẹ̀ hàn ó sì pèsè agbára láti gbé ìgbé-ayé aṣẹ́gun lóri ẹ̀ṣẹ̀ fún wa (1 Kọrinti 15:24-34)."
"Hakanan, yayin da tsarin addinai masu yawa suna bukatar mutum yayi waɗansu abubuwa ko da yayi waɗansu abubuwa, Kiristanci tana game da samun dangantaka da Allah.",Kristi!
"In ba tare da Kristi ba, za mu mutu kuma mu dawwama cikin jahannama a matsayin biyan bashin zunubanmu.","Láìsí Kristi, àwa yóò kú tí a ó si lo ayérayé ní ọ̀run-àpáàdì gẹ́gẹ́ bí ìjìyà fún àwọn ẹ̀ṣẹ̀ wa."
"Manyan ra'ayoyi uku na farko sun kasance kafin fitina (fyaucewa yana faruwa kafin ƙunci), tsakiyar ƙunci (fyaucewa yana faruwa a kusa ko kusa da tsakiyar lokacin ƙunci), da kuma bayan fitina (fyaucewa na faruwa a ƙarshen ƙunci).","Àfojúsùn mẹ́ta tí ó ṣe kókó ni wípé ìgbàsókè yóò ṣẹlẹ̀ ṣáájú ìpọ́njú, ìgbàsókè yóò ṣẹlẹ̀ súnmọ́ tàbí láàrin ìpọ́njú àti ìgbàsókè yóò ṣẹlẹ̀ lẹ́yìn ìpọ́njú."
Yana da mahimmanci a tuna cewa Nassi yana fassara nassi.,Ó tún ṣe pàtàkì kí á ráńtí wípé Ìwé Mímọ́ máa ńtúmọ̀ Ìwé Mímọ́.
"Cocin Baftisma, cocin Lutheran, cocin Katolika, da sauransu, ba cocin bane, kamar yadda yake a cocin na duniya- sai dai coci ne na gida, kungiyar masu bi na gari.","Ní àkótán, ìjọ kìí ṣe ilé kan tí a kọ́ tàbí ẹ̀yà ijọ kan. Gẹ́gẹ́ bí Bíbélì ti sọ, ìjọ jẹ́ ara Kristi—gbogbo àwọn tó gbé ìgbágbọ́ wọn lé Jésù Kristi fún ìgbàlà."
"Amma Yesu Kiristi ya ɗauki hukuncin da ya cancance ni, don ta wurin bangaskiya a cikinsa in sami gafartawa.",Nje o ti se ipinu fun Kristi nitoripe ohun ti o ti ka ninu oju ewe yi.
"Yana da kyau a kashe mutum a zahiri fiye da a ƙi mutum kawai, duk da cewa dukkansu zunubai ne a wurin Allah.","Ó burú gidigidi láti pànìyàn ju kí á kórìíra ènìyàn lọ, bí ó tilẹ̀ jẹ́ wípé àwọn méjèèjì jẹ́ ẹ̀ṣẹ̀ ní ojú Ọlọ́run."
Domin Littafi Mai Tsarki ta zama abubuwan da sun faru a tarihi filla-filla gaskiyarta da daidaitaka ya zama abin haƙiƙanta kamar kowace sauran rubutun tarihi.,"Nitoripe Bibeli soro nipa otito ati igba ti awon ohun sele, o je gege bi iwe a ko si le."
"Wannan yana nufin cewa yin biyayya ga Allah, gwamnati, fasto, ko miji ba abu ne na lokaci ɗaya ba.","Èyí túmọ̀ sí wípé títẹríba fún Ọlọ́run, ìjọba, olùṣọ̀-àgùntàn kan, tàbí ọkọ kan kìí ṣe ìṣe tí a ǹṣe ní àkókò kansoso nìkan."
Sa wannan batun ya zama mafi wahala shine gaskiyar cewa gwamnatoci sun fara rarraba kowane irin horo na zahiri kamar cin zarafin yara.,Ìjọba mú kí ọ̀rọ̀ yìí tún nira nípa bí wọ́n ṣe bẹ̀rẹ̀ sí ní pín gbogbo ọ̀nà ìbáwí nípa nínà sí àṣìlò ọmọ.
"Tabbas, Allah yana iya warkar da kowace irin cuta ko cuta.","Bẹ́ẹ̀ ni, Ọlọ́run lè wo àìsàn kí àìsàn tàbí ìlera sàn."
Lura cewa Romawa 8: 19-22 sun faɗi cewa dukkan halittu suna ɗokin jiran wannan lokacin.,Ṣe àkíyèsí wípé ìwé Romu 8:19-22 sọ wípé gbogbo ìṣẹ̀dá ńretí àsìkò yìí gidigidi.
"Farawa 38:10 ya ce, “Amma abin nan da ya yi, mugun abu ne a gaban Ubangiji, shi ma Ub-angiji ya kashe shi.” Dalilin Onan shine son kai: ya yi amfani da Tamar don son ransa, amma ya ƙi yin aikinsa na doka na ƙirƙirar magajin ɗan'uwansa da ya mutu.","Ọ́nánì kò fẹ́ pín ogún rẹ̀ pẹ̀lú ọmọ kankan tí yóo bí sí ipò arákùnrin rẹ̀, nítorí nà, ó ṣe ìfètò sọ́mọ bíbí tí ó pẹ́ jù, tíí ṣe fífàáyọ."
"Mai yin annabci kuma, ikilisiya yake ingantawa.” Koina a sura 14, Bulus na ƙarfafa muhimmancin samun fassarar harsuna (juyawa) dubi 14:5-12.","Awon onigbagbo ode oni ti won nipe won huwa lati ma so ede, won kotele bi Bibeli ti ni ka se."
"Irin wannan mutumin maƙiyin Kristi ne - ya musanta Uba da Dan.""","Nínú Johannu kejì ẹsẹ̀ 9, a kà, ""Olúkùlùkù ẹni tí ó bá ń rú òfin tí kò sí dúró nínú ẹ̀kọ́ Krístì, kò gba Ọlọ́run; ẹni tí ó bá dúró nínú ẹ̀kọ́, òun ni ó gba àti Baba àti Ọmọ."""
"Domin ita hanyarmu ce ta ""toshewa cikin"" ikon Allah, hanyanmu ne na cin nasara akan Shaidan da rundunarsa bamu da ikon shawo kanmu da kanmu.","Nítorí wípé ó jẹ́ ọ̀nà tí à ǹgbà ""ń so pọ̀ wọnú"" agbára ti Ọlọ́run, o jẹ́ ọ̀nà fún wa láti borí Sátánì àti àwọn ọmọ ogun rẹ̀ wípé a kò lágbára láti borí nípa tìkalára wa."
"Misali, daki mai cike da birai 100 da kwamfutoci 100 na iya haifar da 'yan kalmomi, ko kuma ma wata magana, amma ba zai taba samar da wasan Shakespear ba.","Fún àpẹẹrẹ, iyàrá tí ó kún fún ọgọ́rún (100) ọ̀bọ àtí ọgọ́rún (100) ẹ̀rọ ayárabíàṣá lé gbé ọ̀rọ̀ díẹ̀ jáde, tàbi kó tilẹ̀ jẹ́ ọ̀rọ̀ tí ó pọ̀, ṣùgbọ̀n kò lè pèsè eré Ṣekíspiẹ̀."
"Takamaiman tana nufin ""zamani"" ko ""eon,"" wani keɓaɓɓen lokaci.","Ní pàtó ó túmọ sí ""àkókò kan"" tàbí ""agbára àtòkèwá tí o gùn ní àkókò"", àkókò ìgbà kan ní pàtó."
Bitrus ya fahimci rubuce-rubucen Bulus kamar Nassi (2 Bitrus 3:15-16).,Peteru dá àwọn ìwé Pọ́ọ̀lù mọ̀ gẹ́gẹ́ bíi ìwé Mímọ́ (2 Peteru 3:15-16).
English,English
Allah ya kira mu zuwa ga bauta masa cikin biyayya cikin komai.,Ọlọ́run ńpè wá láti jọ́sìn sí Òun nínú ohun gbogbo pẹ̀lú ìgbọràn.
Amsa,Idahun
"Rai, kamar yadda yake tare da ruhu, ita ce cibiyar yawancin abubuwan ruhaniya da na motsin rai (Ayuba 30:25; Zabura 43:5; Irmiya 13:17).",Ọkàn àti ẹ̀mí jẹ́ ààrin ibi tí ati máa ńní ìrírí ti ẹ̀mí àti ìhùwàsí (Jobu 30:25; Orin Dafidi 43:5; Jẹrimiah13:17).
"Hakanan, ko da yake masu bada gaskiya a yau basa  ƙarƙarshin dokar Tsohon Alƙawari (Romawa 10:4; Galatiyawa 3:23-25; Afisawa 2:15), gaskiyar cewa da ma akwai doka gaba da jarfa ya isa ya sa mu tambaya.","Iwe Majemu lailai pase wipe awon omo Isreali, “ Eyin ko gbodo sin gbere kan si ara nyin nitori oku, beli enyin ko gbodo ko ami kan si ara nyin: Emi li OLUWA’( Lefitiku 19:28)."
"Game da Ruhu Mai Tsarki dubi: Yahaya 14:16,26; 15:26; 16:7 kuma musamman Yahaya 16:13-14.",Nipa ti Emi Mimo wo: Johannu 14:16; 14:26; 15:26; 16:7 ati papa Johannu 16:13-14.
"A gefe guda, sadarwar rediyo yana da amfani ko daidai ne kawai zuwa wani lokaci, wanda ya yi daidai da sikelin da ke cikin saduwa da duniya.","Ní ọ̀nà míìrán mímọ ọjọ́ orí ti rediomẹ́tíríkìì wúlò tàbí gúnrégé dé ìkòritá kan ni, tí ó kéré sí òṣùwọ̀n tí wọ́n ńlò pẹ̀lú mímọ ọjọ́ orí ayé."
"“A zamanin dā, Allah ya yi wa kakannin kakanninmu magana ta hanyoyi masu yawa iri iri, ta bakin annabawa, amma a zamanin nan na ƙarshe, sai ya yi mana magana ta wurin Ɗansa, wanda ya sa magājin kome, wanda ta wurinsa ne kuma ya halicci duniya” (Ibrananci 1:1-2).","Ọlọ́run, ẹni, ni ìgbà púpọ̀ àti li onírúurú ọ̀nà, tí ó ti ipa àwọn wòólìí ba àwọn baba ṣọ̀rọ̀ nígbàání."
Fassarar da ta dace da Ibraniyawa 12:1 shine cewa maza da mata da ke samar da “babban taron shaidu” shaidu ne ga darajar rayuwa ta bangaskiya.,"Ìtumọ̀ Heberu 12:1 tí ó tọ́ ni wípé àwọn ọkùnrin àti obìnrin tó ńse ""ẹlẹ́rí ńlá"" jẹ́ ẹlẹ́rí sí iye ìgbé ayé nípa ìgbàgbọ́."
Da ya zama ko a ce mahaukaci--- a kan matakai da mutum wanda yana cewa Shine dafaffen ƙwai ---ko dai shi ya zama Shaiɗan na Jahannama.,A le pe ni alai ni opolo- omo enia ti o so wipe eyin ni ohun – tabi esu lati orun apadi.
"Na farko, suna da’awar cewa coci ya gurɓata Littafi Mai Tsarki a cikin ƙarnuka da yawa; don haka, sun sake fassara Littafi Mai Tsarki zuwa abin da suke kira Sabuwar Fassarar Duniya.","Ní àkọ́kọ́ wọ́n wípé ìjọ ti ba Bíbélì jẹ́ fún bíi ọgọ́ọ̀rún ọdún sẹ́yìn; nítorí náà, wọ́n ti tún Bíbélì túmọ̀ sí èyí tí wọ́n pè ní Ìtumọ̀ ti Àgbáyé Titun (New World Translation)."
Koma zuwa shafin gida na Hausa,Pada si oju ewe Yorùbá
"Manufar Bulus shine sanin Kristi, da samun adalcin da aka samu ta wurin bangaskiya gareshi, da rayuwa cikin zumunci tare da shi, koda lokacin da hakan ya kawo wahala (2 Timothawus 3:12).","Èrèdí Pọ́ọ̀lù ni láti mọ Kristi, kí ó ní òdodo tí ó ti inú ìgbàgbọ́ wá nínú Rẹ̀, kí ó sì máa gbé ni ìdàpọ̀ pẹ̀lú Rẹ̀, bí ó tilẹ̀ lè fa ìjìyà (2 Timoteu 3:12)."
Koma zuwa shafin gida na Hausa,Pada si oju ewe Yorùbá
"To, sai ku ɗaukaka Allah da jikinku” (1 Korintiyawa 6:19-20).","Ẹ̀yin kì sí ì ṣe ti ara yín; nítorí a ti rà yín ní iye kan. Nítorínà ẹ yin Ọlọ́run lógo nínú ara yín"" (1 Kọrinti 6:19-20)."
Hakanan yana yiwuwa matar Nuhu ta kasance wata jinsi dabam da ta Nuhu.,"Bóyá, àwọn ìyàwó ọmọ Nóà jẹ́ ẹ̀yà tó yàtọ̀."
Yahuda 6 kuma ya ambata mala'ikun da suka yi zunubi.,Júdà ẹṣẹ kẹfà tún mẹ́nuba àwọn ańgẹ́lì tí ó ti dẹ́sẹ̀.
"A lokaci guda, mun ƙi ra'ayin cewa imani da Allah bai dace ba.","Ní àkókò kan náà, àwa kọ èrò wípé ìgbàgbọ̀ nínú Ọlọ́run jẹ́ èyì tí kò mú ọpọlọ dání mu."
"Kalmar “Elohim” da kuma sunan “mu” siffofin jam’i ne – tabbatacce fiye da biyu – kuma dole na nunin uku ko fiye ma (Uba, Ɗa, Ruhu Mai Tsarki).","Ninu Heberu, eji ni an lo fun ohun ti o wa bi mejimeji oju, eti, ati owo."
English,English
"Allah shine wanda ya sanya hukuncin kisa: ""Duk wanda ya kashe mutum, ta hannun mutum za a kashe shi, gama Allah ya yi mutum cikin siffarsa.""","Ọlọ́run fún ra Rẹ̀ ni ó pilẹ̀ ìjìyà ikú: ""Ẹnikẹ́ni tí ó bá ta ẹ̀jẹ̀ ènìyàn sílẹ̀, láti ọwọ́ ènìyàn li a ó sì ti ta ẹ̀jẹ̀ rẹ̀ sílẹ̀: nítori pé ní àwòrán Ọlọ́run ni a dá ènìyàn (Jẹnẹsisi 9:6)."
Wani abu ya faru a ambaliyar don ta rage wa maza rai.,Ìṣẹ̀lẹ̀ kan ṣẹlẹ̀ nígbà ìkún omi láti dín ẹ̀mí ènìyàn kù.
"Ta hanyar maido da zumunci tare da Allah, ta wurin bangaskiya cikin Yesu Kiristi, za a iya sake gano ma'anar rayuwa.","Ìgbà tí a dá ìbáṣepọ̀ pẹ̀lú Ọlọ́run padà bọ̀ sípò, nípasẹ̀ ìgbàgbọ́ nínú Jésù Kristi, ni a tún lè rí èrèdí ìgbé-ayé."
"Bugu da ƙari, yana da mahimmanci a tuna cewa cocin ba ta yanke shawarar kanon ba.","Lẹ́ẹ̀kansi, ó ṣe pàtàkì láti rántí wípé ìjo kọ́ ló pinnu àkójọpọ̀ ìwé Mímọ́."
Irmiya 1:5 ya gaya mana cewa Allah ya san mu kafin ya halicce mu a cikin mahaifar.,Jeremiah 1:5 sọ fún wa wípé Ọlọ́run mọ̀ wá kí Òun tó dá wa nínú oyún.
Kiristi ya tabbatar da da’awar Allahntakarsa ta wurin al’ajabai ƙunshe da tashin matattu mai canza duniya.,Kristi fi han wa wipe ohun ni ipase ise iyanu nipaajinde re.
Babu iyaka ga abin da Allah zai iya yi.,Kò sí òdiwọ̀n sí ohun tí Ọlọ́run lè ṣe.
"A cikin Afisawa 6:4, an gaya wa iyaye kada su tsokane yaransu.","Nínú ìwé Efesu 6:4, a sọ fún àwọn bàbá wípé ki wọ́n má ṣe mú àwọn ọmọ wọn bínú."
Bai kamata a yi amfani da horo na jiki don haifar da lahani na jiki ko zafi ba.,Ìbáwí nípa nínà kò gbọ́dọ̀ jẹ́ èyí tí yóo fa ewu tàbí ìnira pípẹ́ sára.
Kuma a cikin koyon wannan ne aka jawo mu ƙaunace shi (1 Yahaya 4:19).,Nínú kíkọ́ èyí sì ni a fi ńfa sí ìfẹ Rẹ̀ pẹ̀lú (1 Johannu 4:19).
Bukatar Allah na abin da dole ne a gaskata shi ya dogara ne da yawan wahayin da ya ba ɗan adam har zuwa wannan lokacin.,Ohun ti Ọlọ́run ńbèrè tí a ńní láti gbàgbọ́ dálé lórí iye ìfihàn tí Òun fún ènìyàn títí dé àkókò yẹn.
Koma zuwa shafin gida na Hausa,Pada si oju ewe Yorùbá
3) Shin wannan malamin yana nuna halayen halaye masu daukaka Ubangiji?,2) Ǹjẹ́ olùkọ́ yìí ńwàásù ìhìnrere náà?
Ikon Yesu akan aljannu na ɗaya daga cikin tabbaci cewa lallai shi Sonan Allah ne (Luka 11:20).,"Àwọn ẹ̀mí èṣù tí ó bá Jésù pàdé mọ ẹni tí ó jẹ́, wọ́n sì bẹ̀rù Rẹ̀: ""Kíní ṣe tàwa-tìrẹ, ìwọ Ọmọ Ọlọrun?"
"Gaba kuma, Allah baya bukatar kuɗin mu don tallafar aikinsa cikin duniya ba.",Oluwa ko fe owo wa lati se ise ijo re.
"Kyautar baiwar rai madawwami tana samuwa ga dukka , amma tana bukatar cewa mu musunci kanmu waɗansu jin daɗin duniya da mu saɗaukar da kanmu ga Allah.”Wanda ya gaskata da Ɗan, yana da rai madawwami.","Jesu wipe, “Emi ni ajinde, ati iye; eniti o ba gba mi gbo, won ki yo segbe” (Johannu 11;25-26)."
"Wataƙila don haka da kowane irin koyaswa, tare da wannan batun, yana da mahimmanci a yarda da rashin iyawarmu cikakke fahimtar yanayin Allah da dangantakarmu da shi.","Bóyá síwájú si ju èyíkéyi ẹ̀kọ́ míìràn lọ, pẹ̀lú ọ̀rọ̀ yìí, ó ṣe pàtàkì láti gba àìlágbara wa láti ní òye ẹ̀kúnrẹ́rẹ́ àbùdá Ọlọ́run àti ìbáṣepọ̀ wa pẹ̀lú Rẹ̀."
"Toari ga waɗannan “manyan” tambayoyin, Littafi Mai Tsarki ya ba da shawarwari masu amfani sosai a fannoni kamar: Me nake nema a cikin abokin aure?","Ní àfikún sí àwọn ìbéèrè ńlá wọ̀nyìí, Bíbélì pèsè àmọ̀ràn tí ó ṣé e mú wá si ìṣe gẹ́gẹ́ bíi: Kínni mo ńwá nínú ẹnìkejì?"
Karatun waɗansu sunaye na Allah zai iya taimaka cikin nemar mu na abin da kaman Allah yake.,Olorun so wipe a da omo eniyan ni aworan ara re.
Haihuwar Budurwa ta hana yaduwar yanayin zunubi kuma ta bar Allah madawwami ya zama cikakken mutum.,"Ìbí Wúńdíá dènà ìtànkálẹ̀ àbùdá ẹ̀ṣẹ̀, ó sì gba Ọlọ́run ayérayé láti di ènìyàn pípé."
Marubucin Ibraniyawa ya ce ba haka za a yi ba.,Ònkọ̀we Heberu sọ wípé kìí ṣe ọ̀nà t'óyẹ ká gbà nìyẹn.
"Hangen nesa na Kiristanci, a gefe guda, yana amsa tambayoyin guda uku a cikin littafi mai tsarki: 1) Mu halittun Allah ne, an tsara mu ne don mulkin duniya da kuma yin tarayya da shi (Farawa 1:27-28; 2:15).","Ìwò Kristiẹni nípa ayé dáhùn àwọn ìbéèrè mẹ́ta náà ní ìbámu pẹ̀lú Bíbélì: 1) Àwa jẹ́ ẹ̀dá Ọlọ́run, tí á da láti ṣe ìjọba ayé, kí á sì ní ìbáṣepọ́ pẹ̀lú Rẹ̀ (Jẹnẹsisi 1:27-28;2:15)."
"Yaƙi ba abu ne mai kyau ba, amma wani lokacin abu ne mai mahimmanci.","Ogun kò fi ìgbà kankan dará rí, ṣùgbọ́n ó jẹ́ nǹkan tí ó yẹ nígbà míìrán."
Amsa,Idahun
"Ka ci gaba da tambaya, ka ci gaba da kwankwasawa, ka ci gaba da nema har sai Allah ya biya maka bukatar ka ko kuma ya gamsar da kai cewa bukatar ka ba nufin sa ba ce a gare ka.","Tẹ̀síwájú láti máa bèèrè, tẹ̀síwájú láti máa kanlẹ̀kùn, kí o sì tẹ̀síwájú láti máa wá Olúwa títí tí Ọlọ́run yóò fi dáhùn ìbéèrè rẹ tàbí múu dá ọ lójú wípé kìí ṣe ìfẹ́ Òun fún ọ."
"Wasu mutane suna tambaya game da cajin kowane riba akan rance, amma sau da yawa a cikin Baibul mun ga cewa ana sa ran karɓar riba mai kyau a kan rancen kuɗi (Misalai 28:8; Matiyu 25:27).","Àwọn ènìyàn kan tako gbígba èlé lórí owó tí a yá, ṣùgbọ́n ní ọ̀pọ̀ ìgbà nínú Bíbélì a rí wípé èlé kékeré ni ó yẹ láti gbà lórí owó tí a yá (Òwe 28:8; Matteu 25:27)."
"Idan da basu taba yin zunubi ba, to da Allah zai yi zalunci wajen horon su.","Bí wọn kò bá dẹ́ṣẹ̀ rí, Ọlọ́run kò ní jẹ́ olódodo ní fífi ìyà jẹ wọ́n."
"Tabbas Yesu yana nan lokacin da mutane biyu ko uku suke addu'a, amma yana nan daidai lokacin da mai bi daya yayi addu'a shi kadai, koda kuwa wannan mutumin ya rabu da wasu da dubban mil.","Òtítọ́ ní Jésù ńwà níbẹ̀ nígbàtí ẹni méjì tàbì mẹta bá ńgbàdúrà, ṣùgbọ́n Òun náà ṣí ńbẹ níbẹ̀ nígbàtí onígbàgbọ́ kan bá ńdá gbàdúrà, kódà bí ẹni náà bá yapa kúrò lọ́dọ̀ àwọn yóókù pẹ̀lú ẹ́gbẹ̀rún máílì."
"Aboki, Allah na tsaye a shirye ya gyarta abin da ya fashe “---kamar, rai da kake da shi yanzu, da kake so ka ƙare ta kashe kan ka.","Wa si odo Jesu, ki o je ki o fun o ni ireti ati ilo re, bi iwo ba se gbagbo ninu re wipe ki o se atunse."
Wannan zai zama umarnin da Littafi Mai-Tsarki ya bayar don kawo karshen bautar.,Èyí ni yóò jẹ́ ọ̀nà àbáyọ Bíbélì láti fi òpin sí níní ẹrú.
Yana nufin haduwar hankali da rai don samar da raka'a daya.,Ìtumọ̀ jíjẹ́ ara kan jú wípé ìdàpọ̀ ti ara lọ.
7) Dauki matakai masu amfani don rage ɗaukar hotuna zuwa hotunan hoto.,7) Gbé ìgbésẹ̀ ìṣe láti dín ìfihàn rẹ̀ sí àwòrán kú.
